iteration,lcb,ei,rand
1,-0.7891233256240143,0.05083697306852168,
2,-0.49010042902244644,0.04745274353211566,
3,-0.6284562903162269,0.03701082470630641,
4,-0.6450935314489199,0.02231615359461669,
5,-0.6481845370258494,0.016299242051657045,
6,-0.6915769129034905,0.02157762529148459,
7,-0.6644665996144749,0.019270178579233965,
8,-0.6907841598278115,0.01309851919517822,
9,-0.6545675175580673,0.012058505437756323,
10,-0.6961938767667288,0.008028546802409758,
11,-0.7583438709773734,0.007714288220012006,
12,-0.7343827860379281,0.004876329446154672,
13,-0.7457086114717378,0.004686393559691528,
14,-0.7481398144985237,0.0032961083442122467,
15,-0.7726200624452398,0.0023630463284759666,
16,-0.8449902559249888,0.0020670193078763314,
17,-0.7601965808796873,0.002577615390002454,
18,-0.7602491436521092,0.0013881204433010416,
19,-0.7350808228767751,0.0012604880922507406,
20,-0.7720681212475935,0.0010103311907937974,
21,-0.7829571820490422,0.0009246816547377868,
22,-0.7656281030664772,0.00034840049577924503,
23,-0.8376387169135895,0.00032881281787851746,
24,-0.835855285216563,0.00011425051471078375,
25,-0.8293843064031479,0.00011159955887906672,
26,-0.8158211883905132,0.0001370046451195002,
27,-0.8698679190132103,0.00013415655746816036,
28,-0.8489986747603957,0.0001238620686825407,
29,-0.7729857695992405,0.0001061756763038448,
30,-0.7606170258597106,0.00012021156714109028,
31,-0.794878532035993,7.263755893808694e-05,
32,-0.7339434286322765,6.90597465075828e-05,
33,-0.7842581758938401,6.730585322136224e-05,
34,-0.7741333555064825,7.020142751840981e-05,
35,-0.8015005474982857,6.944908486165644e-05,
36,-0.7977837241160478,7.090511887636231e-05,
37,-0.7535174966653466,6.593439064486719e-05,
38,-0.776883928750277,6.944795347476072e-05,
39,-0.7820818508716847,6.475354401810001e-05,
40,-0.8381089656352221,6.305249776611518e-05,
41,-0.8256020557247452,5.845687069647295e-05,
42,-0.7870194017608398,5.9151049265762656e-05,
43,-0.7811344814352167,5.711636832977443e-05,
44,-0.7466993495078026,5.6581798770079024e-05,
45,-0.7502679632470618,5.620136309086905e-05,
46,-0.801982106584082,5.39370456933305e-05,
47,-0.7694665569173383,4.6641645983111725e-05,
48,-0.8247771163064573,3.9377409380119565e-05,
49,-0.8354696497651016,3.704032210242587e-05,
50,-0.8639104206812448,4.1018629489208093e-05,
51,-0.835641057699366,3.6619632683155936e-05,
52,-0.8007653315846163,3.399142457710742e-05,
53,-0.8905415406627096,4.2977346580963295e-05,
54,-0.7996083387521203,3.536857915210347e-05,
55,-0.770391453716543,2.6569034916629954e-05,
56,-0.8938572477983824,2.385345213479436e-05,
57,-0.8711834937265782,2.642935940757727e-05,
58,-0.7904974306405518,2.9153721929862804e-05,
59,-0.8464765327107403,2.788730289923668e-05,
60,-0.8152652121531411,2.8182291406783268e-05,
61,-0.9409298778202715,1.82513213991704e-05,
62,-0.867256499136263,1.0209061406505913e-05,
63,-0.8524369433146879,1.0342057218069553e-05,
64,-0.912973972898467,9.669040774819136e-06,
65,-0.8740901782304112,9.263292870606817e-06,
66,-0.8502773757310902,1.013487269652277e-05,
67,-0.8138973463764348,9.975361390575567e-06,
68,-0.8718810101171414,8.987071833568144e-06,
69,-0.8786628845821909,8.629385829325425e-06,
70,-0.8494427330552421,6.637843098960198e-06,
71,-0.8229523548967675,7.2027197970838954e-06,
72,-0.8527027352069093,6.878761853447836e-06,
73,-0.8164081223950451,5.786583596485425e-06,
74,-0.8876164637134099,6.076289498740732e-06,
75,-0.8313222104445182,5.89795083576324e-06,
76,-0.8535742771193375,6.728845133128908e-06,
77,-0.8077368838557026,6.200039788268008e-06,
78,-0.8952438951068138,6.252338491109325e-06,
79,-0.810977629067827,5.9427010270848535e-06,
80,-0.7753208457134648,6.124780128451634e-06,
81,-0.8426169642233066,5.6739954506248744e-06,
82,-0.8070446820603243,3.4383930514765707e-06,
83,-0.8943139363256146,4.131463118726156e-06,
84,-0.8856506432257082,3.998209488551112e-06,
85,-0.8523110322958197,3.4995041600037714e-06,
86,-0.8182005042510118,3.2769033235772426e-06,
87,-0.8676637163674563,3.375915320794035e-06,
88,-0.8323658487410844,2.893319084343799e-06,
89,-0.8189886614818844,2.979298751052171e-06,
90,-0.8570667660720711,3.1154958103477133e-06,
91,-0.816546864335178,2.687362822388091e-06,
92,-0.8528085520087729,2.349764972970875e-06,
93,-0.8525016101216818,2.580767891831354e-06,
94,-0.9712950868220548,2.6005506984578702e-06,
95,-0.8353484252719022,2.5088912558714232e-06,
96,-0.896605904789437,2.7110248680514657e-06,
97,-0.8645373525937536,2.698003193185609e-06,
98,-0.821837662312552,2.6534689070045656e-06,
99,-0.829274998744965,2.600921657932628e-06,
100,-0.8799305895271969,2.7048710545200913e-06,
101,-0.8685472474089864,2.7604431806822454e-06,
102,-0.860237804537595,2.5579618652894226e-06,
103,-0.9449006128757158,2.5556886098400136e-06,
104,-0.8237593087721116,2.2471225268738816e-06,
105,-0.8998998847338394,2.1918069101383436e-06,
106,-0.9022567645679718,2.1647341344887555e-06,
107,-0.9974412414111399,1.9096667717820473e-06,
108,-1.0140090731128333,1.9967707274567586e-06,
109,-0.924076682490591,1.9717146034285057e-06,
110,-0.9414354700034427,2.2147495185111526e-06,
111,-0.9450543434412814,1.8687479779912065e-06,
112,-0.9147207970253639,1.81576307413125e-06,
113,-0.9816080753145697,1.7139691691848549e-06,
114,-0.9280582853067736,1.8781674332598758e-06,
115,-1.0110748591099843,1.6904698293896344e-06,
116,-0.9533769117579528,1.947270012302186e-06,
117,-0.906774632231898,1.8727105779413298e-06,
118,-0.9634038423112795,2.095741403875318e-06,
119,-0.908286576779495,1.7451355835170317e-06,
120,-0.877725123065726,1.592216741514771e-06,
121,-0.8345969070049907,1.5144316586378536e-06,
122,-0.8654229884966732,1.3377981834618754e-06,
123,-0.9514627286435574,1.4996239207172435e-06,
124,-0.9391832056507119,1.5183574940056956e-06,
125,-1.0092705415848264,1.4981695994519768e-06,
126,-0.9352244784922799,1.5391200281317888e-06,
127,-0.8195235982764146,1.5195468473296983e-06,
128,-0.8639569512306242,1.223420217190755e-06,
129,-0.931759675694745,1.4409182406553713e-06,
130,-0.9501698900855285,1.2959992702386848e-06,
131,-0.8843782866703706,1.4049426183869641e-06,
132,-0.9471636949372008,1.2299753311493351e-06,
133,-0.7516075336362854,1.3542563317256216e-06,
134,-0.9192022242759088,1.2170262949538157e-06,
135,-0.8938098036145642,1.2409953600896112e-06,
136,-1.0097429370059197,1.3427446317107867e-06,
137,-0.9127568024270218,1.394179590625559e-06,
138,-0.9816478011149979,1.2178659019069558e-06,
139,-0.9462134353347111,1.3246303193798294e-06,
140,-0.9601099786713801,1.3267129976540515e-06,
141,-0.9904224751214188,1.3304208071804587e-06,
142,-1.0330020688727506,1.3078753273746994e-06,
143,-0.9800668346370428,1.4123283878445128e-06,
144,-0.9909458062594544,1.2151160382519419e-06,
145,-0.9592855677996585,1.2359142339001887e-06,
146,-1.0029379453895537,1.3057925092040692e-06,
147,-1.043135638579126,1.2796086055810737e-06,
148,-1.0427824462081616,1.2928128020059472e-06,
149,-1.0681735619142507,1.1384060550054132e-06,
150,-0.9893358679509476,1.4095719193324089e-06,
151,-0.8965607230850416,1.324809230123334e-06,
152,-0.9496420453072983,1.3453095557282922e-06,
153,-0.8700529205897982,1.2200240146352949e-06,
154,-0.9072577674139863,1.307842511602571e-06,
155,-0.8615399598357538,1.122959049581674e-06,
156,-1.0316487578914246,1.1438260034044544e-06,
157,-0.9241745383914254,1.1265958161073985e-06,
158,-0.9252087693043741,1.1362576099245692e-06,
159,-0.9762661747282937,9.131302030880641e-07,
160,-0.8622669547903186,9.490651922549997e-07,
161,-0.9261222093278826,1.0427030278728825e-06,
162,-1.0156684117028671,1.049591554485218e-06,
163,-0.9562418496533502,9.565060568591006e-07,
164,-0.9867020343498933,9.30710954275704e-07,
165,-0.9360008478413553,8.840557360641056e-07,
166,-0.9709778287846415,9.942971661515103e-07,
167,-0.9166402290431064,8.361397017218796e-07,
168,-1.024963276032222,9.20497113811922e-07,
169,-0.9360046226088808,8.02732117156569e-07,
170,-0.9452887212228767,8.297794039946223e-07,
171,-1.0164740949935949,8.254742612536341e-07,
172,-1.0383497951207474,7.634838271365247e-07,
173,-1.0226244676202993,8.304751463393193e-07,
174,-0.9421709621834807,7.477328363903428e-07,
175,-1.0466391137162707,7.732992358681026e-07,
176,-1.0042795059973804,7.802975525288347e-07,
177,-1.01447814692182,9.216922924905934e-07,
178,-1.0645662751125944,6.594424282218894e-07,
179,-1.0395394028268858,7.041014768227808e-07,
180,-1.0118316384073875,6.836915555689659e-07,
181,-0.87367091496121,7.621381529920298e-07,
182,-0.918620868939178,6.170922565308136e-07,
183,-0.8828226448847966,6.478134075287128e-07,
184,-0.9135317187756802,5.868171539122893e-07,
185,-0.9757644990484193,5.991094634909717e-07,
186,-0.9458937648426864,4.90058242631147e-07,
187,-1.061524339205574,5.757323648048206e-07,
188,-1.0001997902094706,5.055219231864945e-07,
189,-1.0367463948423539,4.7017737192258213e-07,
190,-0.9829644869535369,4.1004874714438344e-07,
191,-1.0790842695945748,4.6894012641399704e-07,
192,-0.9486739286402823,4.042106428001867e-07,
193,-0.9913431925586121,4.072896384246803e-07,
194,-0.9807407315677971,4.7275572120184535e-07,
195,-0.9629274555651192,4.1960749273771587e-07,
196,-0.9788775377283812,4.428633305352684e-07,
197,-1.0284843982199467,4.1472102230194655e-07,
198,-1.052309669003259,3.9024299408484325e-07,
199,-1.0468028123203827,3.665904277465537e-07,
200,-0.9818732345273302,3.777295853088749e-07,
201,-0.9639912184690624,3.676249366419241e-07,
202,-1.1001997800756196,3.3918614680619945e-07,
203,-0.930941443883609,3.0189181113296254e-07,
204,-1.0844602749157533,2.903868897919111e-07,
205,-1.0637026832933132,2.879329187562074e-07,
206,-1.0668300580107681,2.5341198751864473e-07,
207,-1.0125300057320012,2.745590522889395e-07,
208,-1.0527788543920067,2.4805606419709125e-07,
209,-1.1181382859467355,2.6546983651959817e-07,
210,-1.1227434023974183,2.400068691786105e-07,
211,-1.188481599683175,2.5792119807909925e-07,
212,-1.1645293353953676,2.404315160980598e-07,
213,-1.2010391855280955,2.195832065328643e-07,
214,-1.1521072351263917,1.821633361458466e-07,
215,-1.284380755236651,1.827416001828645e-07,
216,-1.2339810628775996,1.9145025198469274e-07,
217,-1.2941847057862892,2.0879251758855156e-07,
218,-1.3611475951340481,2.11663265151509e-07,
219,-1.3676313961967932,1.9906232546484448e-07,
220,-1.2818894817838966,2.010970178540255e-07,
221,-1.2629796308128838,1.7245119030472708e-07,
222,-1.2090537623751798,1.6308235155485932e-07,
223,-1.3888382528919438,1.770989163839607e-07,
224,-1.3440390914719835,1.875520362277672e-07,
225,-1.438449451828226,1.6256717366182037e-07,
226,-1.4645643315401644,1.4519587094830802e-07,
227,-1.5382932943352168,1.239952625667544e-07,
228,-1.5384805375152342,1.327237065777361e-07,
229,-1.6161767146091086,1.0695609181989726e-07,
230,-1.6845419985375156,1.1861197283770293e-07,
231,-1.6209102395437276,1.131967442722643e-07,
232,-1.8428177019194212,1.0012106988996902e-07,
233,-1.8721255923620561,9.861797758789071e-08,
234,-1.8613370795030968,9.041769981707566e-08,
235,-1.9755327413834392,8.357814567746605e-08,
236,-2.022124388239458,6.847089201670063e-08,
237,-2.1076520389989604,6.593622772939366e-08,
238,-2.2161851060419857,5.721960994558501e-08,
239,-2.3372077004440905,7.662219814911626e-08,
240,-2.4717168544299057,4.733512842861747e-08,
241,-2.43130917914834,5.588879121596996e-08,
242,-2.53650024525453,4.21920890633256e-08,
243,-3.1329205491804633,3.311797983393029e-08,
244,-3.668140116462413,4.1212249993256955e-08,
245,-3.8505727921346358,2.178043815330531e-08,
246,-4.251206069459015,1.666331862933137e-08,
247,-4.882974683772958,1.1932234543418683e-08,
248,-5.669474280075632,8.219869986656976e-09,
249,-7.238783380050873,5.339094969862727e-09,
250,-9.693790264808023,3.212833405276034e-09,
251,-14.339111307465652,1.0054930839348066e-09,
