iteration,lcb,ei,rand
1,-0.8072165575979318,0.055554322251487064,
2,-0.7150971293620886,0.04247208566186088,
3,-0.7015555730105336,0.046142244325162195,
4,-0.6957229369059802,0.01650850912138627,
5,-0.6790099799800502,0.01136351732648276,
6,-0.6091218374670024,0.008150917164565346,
7,-0.6065874583480543,0.008587536044512926,
8,-0.600854717841027,0.008985488864217125,
9,-0.6069068837982757,0.005819332196250447,
10,-0.5995068764539895,0.0043507707569856455,
11,-0.6250953325461507,0.004351818511619511,
12,-0.6265391296476772,0.003601858825634719,
13,-0.6364752777231973,0.0035691862968246775,
14,-0.6434668388839984,0.0016556403821570576,
15,-0.6690968660705624,0.0013322676779455394,
16,-0.626358857142089,0.0011385114215713627,
17,-0.6529741697412725,0.0011773269423926542,
18,-0.6773060139636207,0.0011117536863262981,
19,-0.6825844346704002,0.0006892337231623931,
20,-0.6888008785433247,0.0006896352631854446,
21,-0.6577032318660359,0.0005980617529943668,
22,-0.6489004955359137,0.0005657472479776275,
23,-0.657843910653815,0.0005722571030027824,
24,-0.6491970426988262,0.0006263952545804151,
25,-0.6588616205985071,0.00041780793900878503,
26,-0.6766701390053417,0.00045030379488588025,
27,-0.6546604530951712,0.0001604897846310591,
28,-0.674253619154333,0.00014774276333062188,
29,-0.6697292049950918,0.00010518493502813753,
30,-0.6773145154991689,0.00010267963328587164,
31,-0.6842979007247494,7.659830600520875e-05,
32,-0.6980480421251783,9.535391787289539e-05,
33,-0.7008418085827891,7.014039946104774e-05,
34,-0.6996564037280887,7.247812566905002e-05,
35,-0.6615478730481914,7.62712466283059e-05,
36,-0.6751215151583417,7.022286361271202e-05,
37,-0.6767631794405601,7.08440981404961e-05,
38,-0.697259322530426,7.501960531351079e-05,
39,-0.7214748714721863,7.766913170948515e-05,
40,-0.6903590032253887,7.39360597734966e-05,
41,-0.7364151091610457,7.332143236251704e-05,
42,-0.7488154245877908,7.052907848182698e-05,
43,-0.7377191081254962,5.4072846233941434e-05,
44,-0.7334067521146475,3.7978089565147224e-05,
45,-0.758519230061632,3.1385092523880225e-05,
46,-0.7746082065681802,3.1751033467677504e-05,
47,-0.8074957762393079,2.397228148707231e-05,
48,-0.8113683866039768,2.600151439002714e-05,
49,-0.7961571844637835,2.6602731139718715e-05,
50,-0.826006508550633,2.2939069501861723e-05,
51,-0.8265238978828289,2.2431437942656057e-05,
52,-0.7685834230295638,2.1936553780207395e-05,
53,-0.7927423960671353,1.917031411510635e-05,
54,-0.8297111237915176,1.6462242332107298e-05,
55,-0.8037715707814307,1.6430622410900245e-05,
56,-0.762490304126796,1.6231173201229672e-05,
57,-0.7709261446717152,1.6133834802695127e-05,
58,-0.7534833675803416,1.532308432513703e-05,
59,-0.796295048033698,1.582791614171861e-05,
60,-0.8014284674441328,1.5799113321083612e-05,
61,-0.7690264205564321,1.5211746134964983e-05,
62,-0.7855029852916701,1.2710167605664795e-05,
63,-0.8063793873086847,1.2336349176028794e-05,
64,-0.808738853176846,1.214168122096663e-05,
65,-0.7870697312628578,1.2587665889466883e-05,
66,-0.7940043272252884,1.2290344192193667e-05,
67,-0.7830355155122929,1.312752517579443e-05,
68,-0.8324072272453844,1.2434396218445092e-05,
69,-0.8300590768869383,1.2461260153339873e-05,
70,-0.7974185186827921,1.1224461999381492e-05,
71,-0.794916323814591,1.1033221032473824e-05,
72,-0.8296534012380361,1.1436880123580905e-05,
73,-0.8266697473119099,9.418564887785987e-06,
74,-0.8123312886008733,9.542812441416093e-06,
75,-0.7988573179563447,9.13819107938487e-06,
76,-0.7859224415635628,9.247134754350243e-06,
77,-0.7878087439757102,9.048016425700083e-06,
78,-0.7994616300179866,9.816849369968846e-06,
