iteration,lcb,ei,rand
1,-0.7746483973124727,5.5426678311333325e-06,
2,-0.7246834347605753,7.459910275999076e-06,
3,-0.7185447775646118,6.975906190150184e-06,
4,-0.7183493091318301,6.795970469539587e-06,
5,-0.7199163809345809,7.0527484013358045e-06,
6,-0.7210065005198971,6.5553350058526305e-06,
7,-0.7215372153077615,6.588657550435482e-06,
8,-0.7234226033265965,6.574223741051251e-06,
9,-0.726060779961255,3.719721619645948e-06,
10,-0.7271866162211095,3.574463336446568e-06,
11,-0.728278372296154,3.6138969160204623e-06,
12,-0.7300865232167087,2.5801329265954018e-06,
13,-0.7322531258863388,2.401700537755388e-06,
14,-0.7342886286518475,2.276165034568819e-06,
15,-0.7349359834717901,2.253144083258864e-06,
16,-0.7368049896275438,2.273002583793619e-06,
17,-0.73984896538133,2.198846434614898e-06,
18,-0.7415304858428672,2.0921038336940597e-06,
19,-0.7424941030662684,2.048624270356541e-06,
20,-0.7446525095387636,2.095911454690334e-06,
21,-0.7467575814362343,1.880026049053349e-06,
22,-0.7530324500900096,1.8103927786161596e-06,
23,-0.7546344737983353,1.8454241383849505e-06,
24,-0.7558307529546555,1.8365650642341295e-06,
25,-0.7572012067415321,1.7947653075227578e-06,
26,-0.7618433851104104,1.8750526013970392e-06,
27,-0.7641102332869756,1.8613481455434332e-06,
28,-0.7670090368074487,1.6339472548959313e-06,
29,-0.768882473163575,1.6466259171463983e-06,
30,-0.7735722911880107,1.6979044205626618e-06,
31,-0.7694329845935528,1.6533037076483056e-06,
32,-0.7790667453262473,1.66457560601735e-06,
33,-0.7819168821479292,1.7007306732062824e-06,
34,-0.786052855859729,1.6104991793094637e-06,
35,-0.7866019289300807,1.564048437660458e-06,
36,-0.7891494948810199,1.5537037695356266e-06,
37,-0.7889876235118145,1.4141420859138268e-06,
38,-0.7983118476418778,1.4096786696596092e-06,
39,-0.8043443850389277,1.3858162713813912e-06,
40,-0.8087328855964131,1.4273801833397787e-06,
41,-0.8068649618391807,1.2483409658246078e-06,
42,-0.815218837680923,1.2244147113659718e-06,
43,-0.8166371587516384,1.2657607595095073e-06,
44,-0.818992009855307,1.2458061049273142e-06,
45,-0.822338654790463,1.046473982113876e-06,
46,-0.8301704267813969,1.0333918023190462e-06,
47,-0.8394807373263699,1.0576341048772067e-06,
