iteration,lcb,ei,rand
1,-0.7152771582465572,9.753704756507345e-06,
2,-0.7163390361356172,9.51080571412082e-06,
3,-0.7179176671722592,8.014352477549318e-06,
4,-0.7190226368712537,8.113496883824288e-06,
5,-0.7209802913440115,8.336043744554314e-06,
6,-0.7225808081058416,8.419673181772082e-06,
7,-0.7235256374913468,4.755219206232672e-06,
8,-0.7260061452545452,4.830388661723914e-06,
9,-0.7277473069484692,4.099259683106495e-06,
10,-0.7293850756939974,4.041933685618474e-06,
11,-0.7307651721666345,4.109945291356716e-06,
12,-0.7316453465854511,3.895524987610935e-06,
13,-0.7336690666104363,3.919933965512275e-06,
14,-0.7364728311473547,3.917292902993212e-06,
15,-0.7369637376882398,3.8197807289407646e-06,
16,-0.737434440191359,3.837988137794836e-06,
17,-0.7387382256347993,2.9660923888970526e-06,
18,-0.7431160829528004,2.8676311677133686e-06,
19,-0.7453465838031436,2.74534384354589e-06,
20,-0.7469277985258705,2.6456767830020453e-06,
21,-0.7473099786961837,2.5906653748352948e-06,
22,-0.7517161774807388,2.32817149006047e-06,
23,-0.7534596061234189,2.1680651878203536e-06,
24,-0.7557463496096196,2.1898888551937434e-06,
25,-0.7587850169832865,2.138973176509865e-06,
26,-0.7574658725048051,2.0886227214904676e-06,
27,-0.7620270881872188,1.7275502040161504e-06,
28,-0.7671842878838346,1.7510461074037716e-06,
29,-0.7683402435052115,1.7394365870270994e-06,
30,-0.769785419208944,1.5471709404059622e-06,
31,-0.7716897490524527,1.5612697174023668e-06,
32,-0.7768324182067814,1.5339430370747375e-06,
33,-0.7817504833894046,1.5575274029315133e-06,
34,-0.7876453423835433,1.4490852337955322e-06,
35,-0.7869771280521881,1.4870349978516435e-06,
36,-0.7926616337287714,1.449305692133521e-06,
37,-0.7968575683507868,1.3211212464094777e-06,
38,-0.7932157934584981,1.2986800559460038e-06,
39,-0.8075809975173682,1.2007431855874297e-06,
40,-0.8084705350135526,1.2379259694352658e-06,
41,-0.8140957775986567,1.227856037972989e-06,
42,-0.8139011823076756,1.1731248104997681e-06,
43,-0.8233064587278227,1.2319546051548918e-06,
44,-0.8345400468334531,1.1818318341987928e-06,
45,-0.8363438208971725,1.2053606222218231e-06,
46,-0.8441332176065477,1.1146270834374686e-06,
47,-0.8501906454959919,1.0894213383984333e-06,
48,-0.8552720069788219,1.062082127472661e-06,
49,-0.86099403215916,1.0523322775140467e-06,
50,-0.8717776026197349,1.046676107997113e-06,
51,-0.8694091875657622,9.02053011522586e-07,
52,-0.8753213306173574,9.073941210254843e-07,
53,-0.8855762107088853,8.972580909049868e-07,
54,-0.8936893531405781,8.814325013608307e-07,
55,-0.896317252481349,8.288707153501016e-07,
56,-0.9055038166862256,8.087164093713929e-07,
57,-0.912049292106489,7.989041704181254e-07,
58,-0.9138714450043366,8.32693578822446e-07,
59,-0.9199383775082697,7.969987312894112e-07,
60,-0.9353053014057658,7.849003487235208e-07,
61,-0.9342917301443014,7.547140107164336e-07,
62,-0.941732037434626,7.46213495803479e-07,
63,-0.9595029957185248,7.386591773421733e-07,
64,-0.9651704901510851,7.228994276023327e-07,
65,-0.9731977777130192,7.509692176317864e-07,
66,-0.9900382233162399,7.154167684305012e-07,
67,-0.9987372218648862,6.983408996579863e-07,
68,-1.0021723333576187,7.372404117237912e-07,
69,-1.020716332526369,6.655575108380914e-07,
70,-1.0190642836822246,6.192647708790726e-07,
71,-1.053256784132191,6.632009877083023e-07,
72,-1.0633067243336176,6.572364015616428e-07,
73,-1.0585657948914597,6.27659297774244e-07,
74,-1.079501446472532,6.487328590838488e-07,
75,-1.1018325188465545,6.128192896931236e-07,
76,-1.0832296314367589,6.15683792002724e-07,
77,-1.0972936990416584,6.348892305832531e-07,
78,-1.1080890390080638,6.192132078261782e-07,
79,-1.1043181508279727,6.368030609860101e-07,
80,-1.1175440303995614,6.106147523012323e-07,
81,-1.1344382119794578,6.026589575936894e-07,
82,-1.172637459945522,5.483196598970085e-07,
83,-1.1817215262225107,5.509965979632295e-07,
84,-1.2036168463006554,5.279971859947477e-07,
85,-1.2091293427263945,5.300858078596186e-07,
86,-1.2171297078736074,5.477224744409529e-07,
87,-1.2577443442947966,5.497198386579169e-07,
88,-1.2572543594363597,5.234092068703268e-07,
89,-1.2794823176881913,5.392906395884982e-07,
90,-1.2764692573278251,5.106644197898144e-07,
91,-1.3003319529054673,4.910663329221077e-07,
92,-1.3257202153217695,4.841989606610626e-07,
93,-1.352765685218543,4.935795935540892e-07,
94,-1.375339711150157,4.922605554855203e-07,
95,-1.4063565146418562,5.038225911663528e-07,
96,-1.3925574250055521,4.786692433567103e-07,
97,-1.399682537500775,4.743534625918218e-07,
98,-1.4136689272449423,4.6412180457876007e-07,
99,-1.4502274109056563,4.5391024701835157e-07,
100,-1.4762738624432115,4.504458637663448e-07,
101,-1.4940167522598966,4.343632146812189e-07,
102,-1.5090376928745821,4.4489561347871024e-07,
103,-1.5110006799452484,4.1547941706992285e-07,
104,-1.5923779327420653,4.2100836790297846e-07,
105,-1.6010857663935718,4.0918701767782155e-07,
106,-1.6317610079715086,4.2160522008830567e-07,
107,-1.6551110440015455,4.0117618380478873e-07,
108,-1.6599720568940028,4.116066016163719e-07,
109,-1.6359004515168751,4.03879985252016e-07,
110,-1.6971855190598657,3.965783333940542e-07,
111,-1.7149297717447038,4.226386153120288e-07,
112,-1.7416840272218477,4.1989858264866586e-07,
113,-1.7634072287269864,4.143246581881759e-07,
114,-1.7836913189455197,3.751408132462229e-07,
115,-1.843043851570168,3.6006754967201294e-07,
116,-1.8765182715131328,3.6848681525668796e-07,
