iteration,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50
1,-1.2265608377234163,-0.9836032673591568,-0.9165886285068807,-1.1180241202853856,-0.9980171193333586,-0.9340927558142528,-0.7469443263563338,-1.388748666821151,-0.8930087033863534,-0.7393354155669719,-0.859171229493427,-1.313552923266525,-1.4912562387278314,-0.7783172732702053,-1.3668261850671268,-1.7388675129407705,-1.5591390009538733,-1.0587002645745367,-1.11593431560045,-0.7753616106090644,-1.2529123814415737,-0.7904227392949484,-1.036174596756247,-1.0706525222375147,-1.306754971462032,-0.7925093797954064,-0.7583851256716698,-0.9994341087061424,-1.7801145795611957,-6.3816728725881156,-0.9653090040796564,-1.2274757084975894,-1.7212793129278006,-1.107362265593336,-3.332684943667686,-0.7485215487091732,-0.9492895256564333,-0.8309282509218853,-0.9439544666825029,-0.8361894944051417,-0.822954183606454,-3.9590821101264893,-0.9825133613675603,-1.3849862322146702,-0.9942710562728335,-1.14512475189625,-0.906970755142671,-1.005228859097733,-0.8246220756966425,-1.023343325417116
2,-0.9454187021586846,-0.8291300877042638,-0.9678049308948816,-1.343053794827486,-0.8640699630267079,-1.029872816067098,-0.7384292110047636,-1.405185731628239,-0.9211673575585103,-0.8905974615819193,-0.8012884652658411,-1.3367257489957383,-0.8486309786700503,-0.7459925073121764,-1.1203065366366984,-1.82553601782572,-0.9885449485413015,-0.8847969683212394,-0.9760616820068303,-0.750410037909574,-0.9200371552156121,-0.7490226899944965,-0.8780850133616646,-0.9334881327311529,-0.9067459591679408,-0.8180894208900582,-0.7799599183822445,-1.0524444809084998,-1.4700263394375477,-3.0342934363143272,-0.9157671115346608,-1.04678860562748,-1.9769089263169553,-1.0852714381114352,-2.4035436376011545,-0.7549765791197744,-0.7710081509240215,-0.7334511500572402,-0.8994305643990185,-0.74668187169449,-0.7833972460981236,-2.2650873875930557,-0.8947435520408865,-1.1080658775634316,-1.2117906674633006,-1.0974832980487936,-0.7587612321413113,-0.9651671292437366,-0.8124340080622109,-1.1637993539527742
3,-0.9989721443890434,-0.8437779351856582,-0.9874340360527544,-1.1276381317859947,-0.8829912746055351,-0.9512743856010544,-0.7289557786397476,-1.32986117774213,-0.9697959021906567,-0.8311386222864421,-0.7745042140996964,-1.0798093726400353,-0.8150862766172737,-0.7644984150845352,-1.0611593392063778,-1.8512351191784886,-0.8995175678445453,-0.8343977274005722,-0.9156169291538757,-0.7504117366788816,-0.9481683113600894,-0.7931723185289742,-0.8601023454056186,-0.9166366423121237,-1.2067213778562238,-0.8500258180412597,-0.8673244236662784,-1.1175348376660335,-1.473553702254292,-1.1559578544219122,-0.9640617455107282,-1.0817383786768042,-1.5208037881595116,-0.8636977641782606,-2.2660033109734905,-0.8222174254268715,-0.7289094806553041,-0.7375121936433914,-0.8409699916859237,-0.7411589729151985,-0.7748769925803346,-2.330203610200917,-0.913297749504649,-1.1216990996221294,-1.3952796681954163,-1.1735260850702318,-0.7566836650214979,-0.9582197531918945,-0.7914944958224192,-1.195075580772277
4,-0.9423721224793024,-0.8953936497042099,-1.0682250457777487,-1.1985011646321733,-0.8790077097775181,-0.9112257862174167,-0.7305176314425679,-1.145198572891491,-1.0476823452179334,-0.8157079873284766,-0.7603535597951487,-0.8103982178112805,-0.7820129060911066,-0.737546947979979,-1.1147999742345287,-1.0448586686429762,-0.8885270397940217,-0.8688750700377631,-0.911035871480765,-0.7560759834244337,-0.9620867971267458,-0.8014199817108076,-0.8595908324435365,-0.970403386131818,-1.2548703555761995,-0.9214282329061949,-1.003639766793295,-0.7551464776028809,-1.613371328678195,-0.963836656474366,-1.023796668128702,-1.70622378085884,-1.1909535560763804,-0.8723312114180495,-1.060128288761158,-0.7664850278506391,-0.7319411867325111,-0.7464782676381665,-0.8164145837010472,-0.7612713801106264,-0.7399305045656641,-1.8887348391315482,-0.8706285563647698,-1.0439147195841005,-1.0955775691188905,-1.0656480708578704,-0.7522796077082085,-0.9593297989405102,-0.8114878600485774,-1.2535177859455868
5,-0.9947678544015692,-0.874942321489525,-0.9069992176592288,-0.9705124974990804,-0.854490878636547,-0.8617182074683246,-0.7323170643234013,-1.2166767666205633,-0.8649909336059097,-0.8422204442249612,-0.767201507628273,-0.8007353538238585,-0.8074648778801666,-0.7451280859577102,-1.2566175365093326,-1.0079449965279461,-0.859987841556121,-0.7920318842687506,-0.8922542725622685,-0.7934722770965014,-1.0160335953519586,-0.7808676676934073,-0.9314367547401198,-1.1136587121947454,-1.2795578195862567,-0.9525705753126302,-1.8856003359344073,-0.7720096368489553,-1.2044454150995332,-0.9844936373877399,-1.1128978320897036,-1.7055933922483857,-1.2650464938423711,-0.894053488530208,-1.0583417747966408,-0.795107167724871,-0.7396346579500505,-0.7620027943417287,-0.8281920399075364,-0.7668291759568032,-0.7398713985910655,-2.0040081765945037,-0.9517964679994192,-0.878504334440603,-0.8725161732538749,-1.024814825761777,-0.762619524183535,-1.0095162330151632,-0.8272825898395916,-1.3175072885209076
6,-0.9440317310277828,-0.9055090265004303,-0.8180170895631582,-0.8793717396575116,-0.7906401768572636,-0.8770660372582345,-0.7331065844100426,-1.031501624350439,-0.8663153670647691,-0.8130410134021039,-0.7656189727682547,-0.8630525144827862,-0.7618722507219583,-0.7457131758034747,-1.4858305256726183,-1.0046677317471162,-0.9260274336499617,-0.8219902279324016,-0.9423546338572765,-0.826448910705319,-0.9964439272878427,-0.7625693850832574,-0.8236169376349727,-1.1629140744729447,-1.2944949397425254,-0.8972208956641514,-2.2185879297015374,-0.8220258097563535,-1.1794681835753615,-1.0852374834433378,-1.224344704255843,-1.9410600878073905,-1.198170953452641,-0.8470049070167475,-1.1526595496969625,-0.8282067618647719,-0.7815749952163397,-0.7934074926079466,-0.8274054642225506,-0.7426022302362576,-0.732656626017232,-0.9549092185026645,-0.9778189989898894,-0.9199480749783064,-0.8393993014422477,-0.8850381895779041,-0.7853800154241805,-1.0415500738286096,-0.8558311481300779,-1.3960790131382526
7,-0.9608457302291405,-0.9470862312667085,-0.8199990653413676,-0.8572033822568779,-0.8207181807617563,-0.9290591484479107,-0.7343677016686917,-0.9984598628162226,-0.8921259792894105,-0.8070980438302557,-0.7529227117518098,-0.908880774235321,-0.764627737300081,-0.7401522468462333,-1.8465956064538096,-1.0171246125358424,-0.9589298840244176,-0.8570017806442507,-0.9904930611556811,-0.8327493530325063,-1.0025856306497576,-0.8199618813417965,-1.1868957747231013,-1.197871482792385,-1.3483095229831414,-0.9428581535143655,-2.624620847736982,-0.8857737147892751,-1.2679657081248308,-0.9905074945001202,-1.321794281904303,-3.373515392466572,-1.1951802337982318,-0.811929450958306,-0.9337993895624218,-0.8247846620993674,-0.7874695148618334,-0.8025273196441907,-0.7440157714697996,-0.7821400680264339,-0.736607865906218,-0.9241286341472668,-1.0365407510195783,-0.9792857574175987,-0.8598106312679109,-0.8683962348409971,-0.8262650278200712,-1.061053696884846,-0.8845299001409658,-1.2604908954235403
8,-1.0066071665113483,-1.0026701682643062,-0.8643912240822808,-0.8196490822930894,-0.8227855159311056,-0.8980590313664731,-0.7371331271252428,-0.9190852339635031,-0.8974312938810193,-0.8009723814819487,-0.7687383735904606,-0.9590347163743502,-0.7598369136273561,-0.7370970325758881,-2.2642278319912283,-1.072557220156496,-0.9959611029756651,-0.878453776847553,-0.974290148065824,-0.875797515228826,-1.041509137899786,-0.821282337463474,-1.1871117013927466,-1.2433525758615471,-1.4351545265692072,-0.9812518964260541,-3.047239889051512,-0.8878226437241702,-1.3312949415832283,-1.4967319448959806,-1.283791807842576,-8.698945012623577,-1.2786791747005846,-0.8256624340705433,-0.9037219826201034,-0.8261462527878838,-0.8153163459338857,-0.8283632276157846,-0.7484732747151969,-0.80344184295686,-0.7490579841321244,-0.9199172835092638,-1.0493478060603814,-0.9561605808715063,-0.8355152399515272,-0.8839505987262645,-0.84674417085626,-1.0399248113764834,-0.9364032110220761,-1.1216632083531102
9,-1.0890446676846932,-1.0249444081601435,-0.9030596436758803,-0.825577069825051,-0.8364427064060251,-0.9149783388646964,-0.7412470614562398,-0.8743614514079528,-0.9314902580243116,-0.8272246146963574,-0.771494942001105,-1.0582984544726592,-0.7516874126032147,-0.7188942868523084,-2.938421754620675,-1.0912857084764431,-1.0473547801711285,-0.8512750229180482,-0.9926893813169996,-0.89543576253559,-1.0964224229569741,-0.8205181602894442,-1.2005077089155303,-1.2334140091500703,-1.429451465471093,-0.9753767589639708,-3.6363312918482933,-0.8911556961109756,-1.2937273625689758,-1.9317015585901536,-1.2808779774615406,-8.796237888083242,-1.3158577489889396,-0.8527951208656595,-0.9119034929991859,-0.835071268157225,-0.8346332992357516,-0.8495359504426707,-0.7518950811299975,-0.8200850635626316,-0.7652630455819249,-0.9184417511223417,-1.1075133855080372,-0.9446858418178922,-0.878454099478935,-0.8478603456644788,-0.8341105156502028,-1.0734181657770412,-0.9809823888138047,-1.1317073818210053
10,-1.0836564513409412,-1.0643070786469524,-0.7984569205466112,-0.8261100749089961,-0.858994684942592,-0.9118188819213332,-0.7601755264047414,-0.8827689882991994,-0.8777917094265562,-0.8127895886190172,-0.7671557347878962,-1.165247339585645,-0.7420794170517225,-0.7349506653507665,-3.3485273045095667,-1.140150957741785,-1.0895808507417664,-0.8381210484691004,-1.0325103556828943,-0.9173319401687606,-1.2000241163193057,-0.801120932828971,-1.2265061673731341,-1.2592226454868714,-1.3885533104259318,-1.0080644205755585,-4.22070304047942,-0.8629432703080333,-1.371910698097288,-1.8768399332422374,-1.2991432027436423,-10.31440829025262,-1.4417807082205776,-0.9678831667615628,-0.9557083717799599,-0.8258033445849361,-0.8833679916809802,-0.841724868844318,-0.7683675390797622,-0.8022029397048851,-0.7411370726968728,-0.8223856560617734,-1.1279599925527921,-0.962936718736439,-0.8661190246459032,-0.8911409929000009,-0.8203290887112976,-1.0938942803088956,-0.9285058274188215,-1.1399663179649742
11,-1.2184361769529122,-1.1358625637876243,-0.7805558309319168,-0.8085047155211638,-0.8677108796898167,-0.8908208010690059,-0.7699702661377046,-0.918684077091524,-0.9016265188991899,-0.8210515492188555,-0.779527282773913,-1.3151138847581052,-0.7404589880427506,-0.7540996608124231,-4.123575390120939,-1.2372808947199825,-1.1477308528180794,-0.9274358156331952,-1.0587340999390666,-0.9754612644450781,-1.3885055268063689,-0.7926938948373069,-1.2308938590810712,-1.3232921303842036,-1.506592249681345,-1.0239613978363762,-4.599098903023175,-0.8608808428177857,-1.4011196839776234,-2.379057181927018,-1.5332143609701996,-11.168244197185404,-1.5244808081539394,-0.9965761636911623,-0.9978708099777012,-0.8197158706190457,-0.9288914333763097,-0.8525888993065168,-0.7437988418147926,-0.8168339268115619,-0.7398673033063335,-0.8272438747546003,-1.201917314197084,-1.0155864350731028,-0.798819082575979,-0.8362517826575168,-0.8475784318463329,-1.0900765094838394,-0.9738952020835919,-1.1209216658683292
12,-1.282270472953851,-1.1813546795289616,-0.7952706524440484,-0.8039676037101776,-0.9042821391225255,-0.9136089588676616,-0.7911854871030463,-1.0126674456306488,-0.8118069173809682,-0.8318229676251173,-0.7864810759706541,-1.4440909630101797,-0.7456793219549239,-0.7577804312391189,-5.212916252843007,-1.2420703158710151,-1.1564132454460774,-0.9200097854419309,-1.0877250924525073,-0.9887680194034487,-1.4382784108559814,-0.7976558926529476,-1.2479356837894868,-1.342923026896987,-1.3272774152784061,-1.0805994783521455,-5.500149823350477,-0.8656754138240352,-1.2440522635133766,-2.6693929010470634,-1.6508356468702832,-10.55243407850236,-1.571442345486484,-1.004209697761783,-1.037603846908911,-0.8391140665036794,-0.9661107879127253,-0.8771742921034716,-0.7492635840437115,-0.8298468615409329,-0.7335855292074591,-0.8269612015313617,-1.2191679428186462,-1.018227265539259,-0.8208160000016982,-0.8500510953004894,-0.8428900582236364,-1.0741432199958347,-0.8980884310895865,-1.1451079074964183
13,-1.3516733320364374,-1.248825581655996,-0.7985971315314773,-0.7947547257667549,-0.9238407329754048,-0.9122236053823305,-0.7966838038626062,-1.0825825421754176,-0.8745098398872583,-0.823255991108055,-0.8066502789751822,-1.6154463191509778,-0.7498159720502497,-0.7313349960332186,-5.906156318087906,-1.2842911241978625,-1.2203630180098648,-0.9144316389569784,-1.089049626520329,-1.0147179285241061,-1.4861909318048236,-0.7802945351648021,-1.2888031160289002,-1.5922618404436308,-1.7920773172302404,-1.0852220423788748,-5.633269088990554,-0.8792540992801047,-1.2705786388376035,-3.001138934479023,-1.6545812319713056,-9.275121190394849,-1.334175555338943,-1.0237526242684236,-0.9056870966709916,-0.8536076340715231,-1.0168004663279246,-0.8695687626205075,-0.7424362737050266,-0.8606115997543743,-0.7660669309019082,-0.8380435617397759,-1.240262538051174,-0.8782475651601066,-0.7885816965802303,-0.8387904155759643,-0.8741086946321817,-1.0718582705848703,-0.9246662254040008,-1.1807004693711804
14,-1.1482039832136517,-1.1497481917798644,-0.8187735276193886,-0.7911222999248221,-0.925627192125399,-0.9468777121563479,-0.8016827609534959,-1.209196615207759,-0.8357248912808016,-0.8322704005956499,-0.8069540783159016,-1.8166398016532146,-0.7480480634780113,-0.7307224843974773,-6.78439407972435,-1.295268451984729,-1.2648087957799805,-0.9217505600240148,-1.1414938949244364,-1.0326031239368736,-1.6325574454865566,-0.780839895143994,-1.251243843327226,-1.66411461015949,-2.094478624222914,-1.1251287786141821,-6.5163370503034805,-0.8466848327004313,-1.2554982819016387,-3.537937933917129,-1.7045390993868903,-9.89582356601338,-1.4258636849986224,-1.0519813022076656,-0.9395134553303347,-0.8900575809261297,-1.0622776144283554,-0.8550020339133498,-0.7357180010251138,-0.86492220650529,-0.7697862803501896,-0.8545034640008062,-1.2920972622672027,-0.8864724305103915,-0.7745456533423,-0.8701328664839745,-0.8849591218887017,-1.0804697402894055,-0.9248117392476076,-1.1859842083746663
