iteration,lcb,ei,rand
1,-0.4688955462316896,0.00017392672680584752,
2,-0.44942337537910093,7.279277791150811e-05,
3,-0.43466276112187463,5.81090800965229e-05,
4,-0.4250051629925567,6.124692067440739e-05,
5,-0.4198381301095789,6.133227676875775e-05,
6,-0.41600398509250147,5.9964246755345354e-05,
7,-0.4235359608558084,5.446263446038764e-05,
8,-0.41518913957818804,5.3933730532201904e-05,
9,-0.42293875918034624,4.9595142851356675e-05,
10,-0.42154045974398147,3.62172165422999e-05,
11,-0.4215581648626639,2.682338046341134e-05,
12,-0.42650074045566727,1.5530535324607747e-05,
13,-0.4225891200265112,1.4023077872854198e-05,
14,-0.4259627761566759,1.3427257321059975e-05,
15,-0.43253518191033896,1.3415043640729854e-05,
16,-0.4261510339579441,1.3741106843647835e-05,
17,-0.4380569648353576,1.1652504288433489e-05,
18,-0.43978064071880013,7.72303171379351e-06,
19,-0.4460490650975757,7.832759754048201e-06,
20,-0.45094627536570797,7.812197727198427e-06,
21,-0.4504417264482578,7.5944400220178895e-06,
22,-0.4541388144336733,5.157527874227046e-06,
23,-0.45365095079984924,4.761076177719825e-06,
24,-0.4546450495292522,4.803512467622033e-06,
25,-0.45059558810715933,3.5287408532613152e-06,
26,-0.47349095603290414,3.3377965291151093e-06,
27,-0.467191282677941,3.384569480609777e-06,
28,-0.46241102599012385,3.312173447292894e-06,
29,-0.4727182629983801,3.3001420425323223e-06,
30,-0.47004112388261,3.4211202302461466e-06,
31,-0.4823979466243155,3.2856106083156954e-06,
32,-0.4878173402178662,2.8643254037186255e-06,
33,-0.49490896837061654,2.7072578247755864e-06,
34,-0.4896808343055834,2.7049868079201955e-06,
35,-0.49698516131397774,2.3622987976021913e-06,
36,-0.49658918821069564,2.2863583951571324e-06,
37,-0.5072898594802527,2.173684433606418e-06,
38,-0.5184043921361661,2.1199319107881317e-06,
39,-0.5131273858916986,2.110864893593979e-06,
40,-0.5176933594541687,2.1414313189334666e-06,
41,-0.5272704374323162,1.98813976421838e-06,
42,-0.5297478740304471,1.8980258761323274e-06,
43,-0.5340499206498633,1.7103097909151847e-06,
44,-0.5302547590752227,1.6052634498769963e-06,
45,-0.5249210918797745,1.6504519993202949e-06,
46,-0.5488284638912682,1.586923977166227e-06,
47,-0.5547526664849213,1.4430091660903583e-06,
48,-0.5455248261783722,1.4078073306654132e-06,
49,-0.5466834749154377,1.4031177520125706e-06,
50,-0.5609522798501394,1.3692287002361472e-06,
51,-0.5422457091981678,1.34713148259671e-06,
52,-0.5608860647927328,1.2064222365151453e-06,
53,-0.5580064087210546,1.1543530180789297e-06,
54,-0.5740472676400349,1.1666795746423589e-06,
55,-0.5740992331560804,1.1186137767914322e-06,
56,-0.5909771009787191,1.098781750899306e-06,
57,-0.5713052965029356,1.183209421622859e-06,
58,-0.5854035207982452,1.0640312744946664e-06,
59,-0.5845056487008826,1.1022383431428626e-06,
60,-0.6071995106674563,1.0717731173704798e-06,
61,-0.5989599093891443,1.1044361158258662e-06,
62,-0.6058242023248459,1.1084478017197492e-06,
63,-0.6083405884877766,1.1373474793029452e-06,
64,-0.5992418233960738,1.0709327299185643e-06,
65,-0.5898694861033761,1.0739729910994783e-06,
66,-0.6031981924127965,1.0864632411827267e-06,
67,-0.6127052847847984,1.0553537867768945e-06,
68,-0.6261586039669339,1.0298573131119383e-06,
69,-0.6157649119682775,1.0309565252924001e-06,
70,-0.6370367870452622,1.0384384993456348e-06,
71,-0.6208483255249313,1.0503214100868483e-06,
72,-0.6268262370783306,1.1939612420845402e-06,
73,-0.6370612042247903,1.1028524158295654e-06,
74,-0.6623961460902582,9.967520768798948e-07,
75,-0.6715746916716974,1.0595358788109223e-06,
76,-0.6562699129885499,1.022881645142166e-06,
77,-0.6599963069573914,8.91313538424282e-07,
78,-0.653190650949115,8.398109101296966e-07,
79,-0.6559698040460807,8.649460271036557e-07,
80,-0.658240879004785,8.5238545039418e-07,
81,-0.6713119556572924,8.141043586603407e-07,
82,-0.6702546125779706,8.291612889167286e-07,
83,-0.686928462274544,8.12648925569609e-07,
84,-0.6700254056690086,8.378456532803507e-07,
85,-0.6928867153219894,8.213917265872482e-07,
86,-0.7093156828483106,8.561878618460714e-07,
87,-0.700585964821969,8.326301987250771e-07,
88,-0.6932725195334024,7.941033317131753e-07,
89,-0.7226706797904845,7.91258151542626e-07,
90,-0.7181775833392594,8.003347215607083e-07,
91,-0.7433194521855688,7.760217823583985e-07,
92,-0.7353163921725961,7.954405549800654e-07,
93,-0.7288627240214852,8.45629232517332e-07,
94,-0.7331117712753352,8.262703860821488e-07,
95,-0.7579476972383317,8.548750423805697e-07,
96,-0.7487704672962991,8.394877203261365e-07,
97,-0.7452382831843027,8.475863963081834e-07,
98,-0.7612029608877802,7.144078334743105e-07,
99,-0.7543769875206914,7.203169284376688e-07,
100,-0.7696691847884529,6.960492330370431e-07,
101,-0.7962334811172456,6.500799851154019e-07,
102,-0.7729772076916153,6.494979575580418e-07,
103,-0.7941951622734017,7.083251916764964e-07,
104,-0.8048350321024144,6.787207204051873e-07,
105,-0.8120377177226594,6.724480702665409e-07,
106,-0.7973523265795072,6.34373206500335e-07,
107,-0.7837836453829783,6.751622483974559e-07,
108,-0.8042372054592066,7.042107083094275e-07,
109,-0.7849687385431037,6.956204280514585e-07,
110,-0.8011813856164506,6.549996835148533e-07,
111,-0.8220358478016615,6.668340464640308e-07,
112,-0.827584781595925,6.161819499706526e-07,
113,-0.8390534636974307,6.738109240604554e-07,
114,-0.8235378354839591,6.273446595558538e-07,
115,-0.8404434909624566,6.373892042901866e-07,
116,-0.8338255656292196,6.24549238040168e-07,
117,-0.8668986342682249,5.992129546345702e-07,
118,-0.8707915494449463,5.996721528276711e-07,
119,-0.9011112820072378,6.093543722868242e-07,
120,-0.8888638626293625,5.77664411011177e-07,
121,-0.9002584669496,5.81721442483447e-07,
122,-0.9253067941031148,5.693495106040815e-07,
123,-0.8848390937206823,5.497143810713911e-07,
124,-0.8971520867073428,5.627345847640894e-07,
125,-0.9156098384355967,5.619770872712418e-07,
126,-0.8862307700356873,5.526529884096794e-07,
127,-0.9362813812482329,5.36834493582849e-07,
128,-0.9755146211639834,5.507301342230057e-07,
129,-0.9393651448014304,5.91526962552837e-07,
130,-0.9474827255640129,5.955903943797628e-07,
131,-0.9283227561500931,5.602621025351897e-07,
132,-0.9555886639254849,5.671943332106382e-07,
133,-0.9584399229805125,5.313844824512545e-07,
134,-0.9709441398537594,5.493640953347299e-07,
135,-0.9714817681445191,5.41691978876071e-07,
136,-0.9722142818247436,5.197019537470787e-07,
137,-0.969767896393571,5.110548832536368e-07,
138,-0.980328769562876,5.179398842487018e-07,
139,-1.0295120168342744,5.060148522364741e-07,
140,-1.0394782291822033,4.916897150451035e-07,
141,-0.9892691855035208,5.344278287396444e-07,
142,-1.0488265813994424,5.017919683615231e-07,
143,-1.0682933217718915,4.894792022861034e-07,
144,-1.0252490594816634,5.079909405984845e-07,
145,-1.00811559814739,4.939780310096976e-07,
146,-1.033801078103853,4.7172713860380865e-07,
147,-1.0442181804569963,5.245117350640791e-07,
148,-1.0722528379269345,4.989513460405007e-07,
149,-1.0484585172383816,4.7453782055989957e-07,
150,-1.108629303943362,4.939196397954164e-07,
151,-1.077331673167994,4.942534549685413e-07,
152,-1.0017729373314521,4.3044738299536506e-07,
153,-1.080449284505166,4.5663886711133487e-07,
154,-1.080592775160452,4.717679868122249e-07,
155,-1.09575346059526,4.2743049078608865e-07,
156,-1.1119152817795972,4.768759776063497e-07,
157,-1.1511158544635376,4.27996744640595e-07,
158,-1.130744490343898,4.316613512337373e-07,
159,-1.1371916512732176,3.9438963713014845e-07,
160,-1.2154471775802598,3.904196505593623e-07,
161,-1.1953612722092704,3.680281882356115e-07,
162,-1.1455129786873774,3.6995186123653324e-07,
163,-1.124920431684019,3.588780240416005e-07,
164,-1.2013474951359209,3.5739973868004285e-07,
165,-1.210648970286954,3.4317676315412526e-07,
166,-1.287789928101146,3.230848825046695e-07,
167,-1.2969274316870698,2.9812722466823946e-07,
168,-1.2906711620356464,3.0476257874309376e-07,
169,-1.3807182719881013,3.06518038631278e-07,
170,-1.3327118756459866,2.9218549998452646e-07,
171,-1.3458026153635716,2.88166476665653e-07,
172,-1.3784703011136974,2.829810363417726e-07,
173,-1.4401957686109423,2.786242719110864e-07,
174,-1.5169360139406112,2.3301036440471008e-07,
175,-1.5805531946622147,2.441570363593658e-07,
176,-1.5633345940066872,2.3380427691647182e-07,
177,-1.62398137967038,2.2679718249551503e-07,
178,-1.5827691674575552,2.2481308761545887e-07,
179,-1.6625559121664861,2.119150801436732e-07,
180,-1.6961251886208126,2.0056813617831723e-07,
181,-1.6339566268784862,1.946062202806397e-07,
182,-1.8824080509513568,1.7611254881877517e-07,
183,-1.9786878026286567,1.3874254351490127e-07,
184,-1.9661635691392199,1.6501516147970748e-07,
185,-2.1119952467671848,1.375310189066683e-07,
186,-2.075668421689095,1.3213877676950664e-07,
187,-2.2043011057091357,1.1478929053428746e-07,
188,-2.3733727656735053,1.1362065436660446e-07,
189,-2.414518528221225,1.065994800057622e-07,
190,-2.7839020056138595,7.354568847157505e-08,
191,-2.848129529848743,6.896862747013706e-08,
192,-3.296724442228166,5.502131160874546e-08,
193,-3.3972306135592487,4.532107623671357e-08,
194,-3.5445787688205637,4.965284976136868e-08,
195,-3.6384025589081337,3.42967810088659e-08,
196,-3.6108599461973383,2.6401901395272337e-08,
197,-4.003829421427038,2.504495841920552e-08,
198,-4.231366644406964,1.5606050705089724e-08,
199,-4.6502191853148735,1.951737058290715e-08,
200,-4.992039743255736,9.969077717689907e-09,
201,-5.415783361596157,8.68117832213485e-09,
202,-6.220361228449987,3.5791120016991405e-09,
203,-6.755616357383897,2.1379923288676028e-09,
204,-7.762733857396034,6.205100232031784e-10,
205,-9.218473315491062,1.206929973883501e-10,
206,-18.47965874800918,2.6028830926115966e-11,
