iteration,lcb,ei,rand
1,-1.2439200992019916,0.03787619553488284,
2,-1.0086807314819142,0.022524400415943155,
3,-0.9408391434480307,0.013202260174588844,
4,-0.859442423459071,0.011928978969499857,
5,-0.854418539550764,0.00815005942981667,
6,-0.811343650559136,0.005049991135226256,
7,-0.8064186133701178,0.00483287105520574,
8,-0.79713980604134,0.005056679478581279,
9,-0.7882911385183686,0.004407275177607961,
10,-0.7852887627319458,0.004206268811534079,
11,-0.7850819912281806,0.004064193542332166,
12,-0.778211776943738,0.0041481245164347,
13,-0.7735284945379557,0.0038878524344188635,
14,-0.7708346724888265,0.003666328197445875,
15,-0.7697286590820284,0.001033967201956918,
16,-0.7701813316527222,0.0009184747854012273,
17,-0.7609058089043201,0.0007426381112825858,
18,-0.7536703452729924,0.0007376503739920148,
19,-0.7522722410804862,0.0005715870398433488,
20,-0.7521218949864028,0.000405129085143874,
21,-0.7535737280965621,0.00035996582625225294,
22,-0.7516837198226418,0.0003133626907259685,
23,-0.7561207435132096,0.00016302418014907993,
24,-0.7589329028739933,0.0001469471181096348,
25,-0.7623067075666771,0.0001404439380273418,
26,-0.7591014601161895,0.00014095529904347654,
27,-0.7547176149697981,0.00013560410788914607,
28,-0.7495092148076138,0.00013718007854525077,
29,-0.7487207323765245,0.00013903716288720953,
30,-0.750405602041436,0.00015157563510440338,
31,-0.749985708612749,0.00012283251373134123,
32,-0.7533267271625828,0.000123847071909777,
33,-0.7524821824851657,0.00012613368206420607,
34,-0.7510661373034937,0.0001202167747100284,
35,-0.7560545056146099,0.0001189173521575771,
36,-0.7599194558598111,0.00011976391259056639,
37,-0.7621198526685232,0.00011945825514049168,
38,-0.7697870612127743,5.856136888768855e-05,
39,-0.7708862405948841,5.833088867735408e-05,
40,-0.7717984501426456,5.656257094902466e-05,
41,-0.7758829757846049,5.346119068352719e-05,
42,-0.7767268183378012,5.151982370985753e-05,
43,-0.7863278142479142,5.2445348141567634e-05,
44,-0.78368107414877,5.3608334802794706e-05,
45,-0.7846237429374368,5.197411688683243e-05,
46,-0.7862744418474893,4.984607338277854e-05,
47,-0.7914990102813475,4.928593868720396e-05,
48,-0.7910238453946525,5.1807596521200614e-05,
49,-0.8015463267502948,5.180694805279622e-05,
50,-0.8058603109703374,4.776558772864244e-05,
51,-0.8059192660653018,4.807059691688166e-05,
52,-0.8106486667141973,4.793033177196807e-05,
53,-0.8070271871159801,4.7499695920187715e-05,
54,-0.8113258805148996,4.653537718964488e-05,
55,-0.820345676334269,4.573393059999434e-05,
56,-0.8154992341162641,4.7355580795022945e-05,
57,-0.8281059109201955,4.793621909701121e-05,
58,-0.8257173063781559,2.7642105667337148e-05,
59,-0.8324453392326892,2.647104370323272e-05,
60,-0.8354404001405024,2.1390057407686423e-05,
61,-0.8376810785066898,1.9839535978116667e-05,
62,-0.830776514498472,1.880812792918414e-05,
63,-0.8479408058362676,1.742231999989242e-05,
64,-0.8562590895963221,1.7853591584304035e-05,
65,-0.8628535357018257,1.4821094650241383e-05,
66,-0.8560960286583579,8.729675785428399e-06,
67,-0.8613369587591951,8.853939407800923e-06,
68,-0.8566334472275942,8.974195179107062e-06,
69,-0.8683573408213897,9.094425610886445e-06,
70,-0.8663690212092514,8.14652858702028e-06,
71,-0.8713497861429701,8.129823412627668e-06,
72,-0.8509692033688077,7.884982463782547e-06,
73,-0.8534169526187442,4.990487860078847e-06,
74,-0.8577319775285744,4.880186760594833e-06,
75,-0.8733534624582258,4.983968057166826e-06,
76,-0.8697435539206799,5.127853774017288e-06,
77,-0.8839440913921105,4.8131949578635765e-06,
78,-0.8610314052019374,4.844739496633123e-06,
79,-0.8625402722991456,4.807430828037836e-06,
80,-0.871865244830079,4.86457351074762e-06,
81,-0.8506786289393606,4.620675878345597e-06,
82,-0.8555593551390112,4.4794984703296904e-06,
83,-0.86323332202897,4.489254902496668e-06,
84,-0.8604727183045626,3.491797646474867e-06,
85,-0.8715837945218291,3.498346076224132e-06,
86,-0.8778391746072834,3.5138861930357576e-06,
87,-0.8990360385182399,3.598162436460563e-06,
88,-0.8999387261566073,3.4702177021955027e-06,
89,-0.8943857539236234,3.1840335368150977e-06,
90,-0.8987405538426639,2.5673334774171334e-06,
91,-0.9049085345773282,2.3523144956335155e-06,
92,-0.9034800492031921,2.3666554079765577e-06,
93,-0.8922841611713177,2.3298982695981203e-06,
94,-0.9028187633516214,2.336858047644257e-06,
95,-0.9193437024064428,2.3732348907120855e-06,
96,-0.9143216123304286,2.057145628168892e-06,
97,-0.9048827903588145,2.1359919293131216e-06,
98,-0.9088324527615285,2.042048559125871e-06,
99,-0.9147828847561263,1.9540560578346627e-06,
100,-0.8993347897832713,1.8760141047431247e-06,
101,-0.9245910235439525,1.6650662988669813e-06,
102,-0.9181772381047133,1.6600934099193498e-06,
103,-0.9219235409873465,1.6825489398906058e-06,
104,-0.918276549411425,1.6934301411634697e-06,
105,-0.9095605624390649,1.653933889497537e-06,
106,-0.9063677991349602,1.6724912696312118e-06,
107,-0.9112128322386914,1.5847005493876108e-06,
108,-0.9090147178094532,1.6513290773160213e-06,
109,-0.9093629143628782,1.6906629231895404e-06,
110,-0.8999110535297332,1.6422716853425838e-06,
111,-0.8925096617556914,1.6360237302282034e-06,
112,-0.8880161564916089,1.6122436723211737e-06,
113,-0.8922948194788276,1.5380543938169379e-06,
114,-0.9001903825692724,1.5373639532853185e-06,
115,-0.9032442959271205,1.515095698718419e-06,
116,-0.8958755450011593,1.5057497424580365e-06,
117,-0.8977893318151147,1.5066540320233155e-06,
118,-0.9199260892203606,1.542182477293225e-06,
119,-0.9104547051113204,1.5346792469766925e-06,
120,-0.9062611334297894,1.4704889441115122e-06,
121,-0.9083843611753598,1.4178265954225638e-06,
122,-0.9040447517943869,1.4392197871303438e-06,
123,-0.9056363421437927,1.451067415060348e-06,
124,-0.9168578575997139,1.3157508824379453e-06,
125,-0.930977429174786,1.3475250356053892e-06,
126,-0.9252593909846675,1.236146715298726e-06,
127,-0.9364380464968264,1.1627152494665024e-06,
