,dwave1,dstrength1,,dwave_distances
1,19.98820977,0.002558,,19.98820977
2,44.04606352,0.005518,,24.05785375
3,66.04375636,0.007498,,21.99769284
4,91.81483379,0.010098,,25.77107743
5,114.0826085,0.013248,,22.26777474
6,136.443482,0.01562,,22.3608735
7,165.6464049,0.01806,,29.20292284
8,183.5224568,0.020054,,17.87605194
9,210.6793954,0.022142,,27.15693854
10,230.7955222,0.024238,,20.11612688
11,247.7963352,0.027366,,17.00081292
12,269.8722894,0.030846,,22.07595418
13,284.6545826,0.03313,,14.78229325
14,301.6488239,0.03492,,16.99424132
15,325.0591887,0.037362,,23.41036477
16,346.2210134,0.04012,,21.16182469
17,367.2255036,0.042352,,21.00449026
18,395.4365573,0.04546,,28.21105368
19,419.9292359,0.04722,,24.49267862
20,440.1373561,0.048838,,20.20812012
21,463.8453251,0.051636,,23.70796907
22,489.2343246,0.053784,,25.38899945
23,507.164128,0.056194,,17.92980345
24,523.5053785,0.058422,,16.34125051
25,549.6743092,0.060964,,26.16893066
26,572.7259602,0.063172,,23.05165098
27,602.899486,0.065132,,30.17352579
28,623.4851613,0.067,,20.58567534
29,649.2259167,0.069956,,25.74075539
30,669.7251773,0.072078,,20.49926057
31,690.7552582,0.073566,,21.0300809
32,710.4039582,0.075856,,19.64870003
33,728.6350874,0.077612,,18.23112923
34,741.3674553,0.07946,,12.73236789
35,757.797259,0.081632,,16.42980364
36,775.5434634,0.083712,,17.74620445
37,792.1837289,0.085612,,16.64026544
38,809.2167378,0.087472,,17.03300891
39,828.9381845,0.089548,,19.72144677
40,847.5648696,0.091526,,18.62668511
41,869.7049474,0.093598,,22.14007779
42,888.5766394,0.095478,,18.87169201
43,906.8248758,0.097296,,18.24823633
44,929.4947676,0.099866,,22.6698918
45,948.1131084,0.102156,,18.61834082
46,963.3633881,0.103562,,15.25027968
47,982.8495704,0.105884,,19.48618232
48,1005.177622,0.107808,,22.32805133
49,1023.183891,0.109568,,18.00626884
50,1037.682784,0.111868,,14.49889384
51,1062.001227,0.1137,,24.31844256
52,1078.990206,0.116014,,16.98897861
53,1095.960878,0.117876,,16.97067216
54,1115.455753,0.120626,,19.49487499
55,1137.654407,0.123348,,22.19865448
56,1160.811197,0.12583,,23.1567894
57,1190.754585,0.12846,,29.9433886
58,1211.2865,0.13039,,20.53191522
59,1236.10992,0.132574,,24.82341932
60,1257.085167,0.134926,,20.97524759
61,1284.251168,0.13708,,27.166001
62,1304.164995,0.139842,,19.91382634
63,1324.501152,0.14158,,20.33615721
64,1341.043649,0.144,,16.54249696
65,1362.350204,0.146208,,21.30655503
66,1380.578838,0.148462,,18.22863414
67,1397.765666,0.151234,,17.18682808
68,1421.200055,0.153596,,23.4343892
69,1445.457046,0.155736,,24.25699116
70,1470.541448,0.157612,,25.08440183
71,1491.075156,0.159966,,20.5337082
72,1512.600062,0.16283,,21.52490561
73,1536.701215,0.16492,,24.10115319
74,1560.041345,0.167312,,23.34012944
75,1581.262761,0.169674,,21.22141606
76,1597.548985,0.171898,,16.2862246
77,1618.065292,0.17369,,20.51630645
78,1636.518455,0.175678,,18.45316345
79,1664.888936,0.178028,,28.37048072
80,1690.022385,0.180268,,25.13344904
81,1709.697785,0.182032,,19.67539988
82,1733.915933,0.184414,,24.21814762
83,1759.535872,0.18641,,25.61993986
