iteration,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
1,-3.8963353485019097,-3.2477378222831748,-3.0524819864424892,-3.6169367987124694,-3.2887197423181576,-3.1042592602822556,-2.5202039161189007,-4.2879212174952155,-2.9818784064570303,-2.4949796710717305
2,-3.1374456349209003,-2.7836099454963286,-3.20244890541689,-4.1803862706748784,-2.890331166484273,-3.3780994964463336,-2.4919444249915013,-4.326134868443507,-3.0661313997854807,-2.9746166507663347
3,-3.2913852472261005,-2.821616805370972,-3.258531099213439,-3.6424304205675297,-2.943599978140351,-3.1545304777670826,-2.4601852470869794,-4.1489507577692235,-3.208205652427269,-2.791510952001855
4,-3.1282042082243087,-2.9691906812241577,-3.4826545284163335,-3.825589455821175,-2.928453497648817,-3.036175195811233,-2.4654965254964907,-3.6884419942949647,-3.427331799565029,-2.742857220609215
5,-3.2792197899301376,-2.900918015690373,-3.0231857339199055,-3.2102682381075787,-2.8501727259535428,-2.885102750054582,-2.4713574495697763,-3.871517375282287,-2.896600153821289,-2.826160834476867
6,-3.132428326238486,-2.9789026765769258,-2.7492849387363925,-2.9405695686341735,-2.6567723587469456,-2.9316219824042307,-2.473219489112647,-3.382585329635741,-2.9006662036625483,-2.7343998822201656
7,-3.178651261378159,-3.080512487190546,-2.7546051643673883,-2.8726241755749906,-2.7458789722698618,-3.080798354039805,-2.4766066620261165,-3.2899467623484306,-2.979233155530881,-2.715502587030778
8,-3.3008745520638256,-3.2239884827686858,-2.8915644677961305,-2.755328906789212,-2.749272791679613,-2.984481265688296,-2.4846873717480653,-3.0597568196037805,-2.9952229868347175,-2.6959500550016484
9,-3.5193473432523694,-3.2731648327403455,-3.007331031053299,-2.77402973353595,-2.7874806584600837,-3.0279402897808163,-2.496308817035432,-2.92397600166293,-3.0966427681876914,-2.779212938350958
10,-3.497582953389953,-3.361621247000745,-2.6815324577886357,-2.7757077547015276,-2.8514916865564737,-3.0155017412129257,-2.556792628380134,-2.9452066595229174,-2.9357552349462055,-2.7332309221652786
