iteration,lcb,ei,rand
1,-0.8072165575979318,0.055554322251487064,
2,-0.6539541866859696,0.0429379455274229,
3,-0.6602252776046281,0.029147646174155852,
4,-0.6824333139818728,0.021739951207484173,
5,-0.6599960579490899,0.024238347252364113,
6,-0.6041884466405701,0.017893203251109834,
7,-0.6243078932127535,0.021397732975124314,
8,-0.6360250603207379,0.018032632588780337,
9,-0.6728051588407554,0.011445463517893252,
10,-0.653738164129157,0.00814628345136364,
11,-0.6538708633600858,0.006942432455749923,
12,-0.7003782007169614,0.006610524683268092,
13,-0.6836933103811433,0.004538695021820947,
14,-0.691485187924628,0.0027115749262153093,
15,-0.715165678834554,0.002691394425053359,
16,-0.7104342281216208,0.0020663843687848222,
17,-0.7056628617090362,0.0022822332011656994,
18,-0.6909421383145271,0.002088085516570638,
19,-0.7245461243622884,0.00029756789574788525,
20,-0.7151997529423181,0.0002672855302709969,
21,-0.7469023953605876,0.00019390642412965095,
22,-0.7244323924030561,0.00016804821759268943,
23,-0.7298465192932606,0.00015632691937550038,
24,-0.7430736150920559,0.00014781402367149209,
25,-0.7449428821577816,0.0001442092017655665,
26,-0.7470287350891046,0.00013810354283820995,
27,-0.7152804267855495,0.0001340447264494379,
28,-0.7071064369719824,0.00014049018501879185,
29,-0.7284921813813066,0.00010678439132425433,
30,-0.7090213173311974,9.847915709612798e-05,
31,-0.7137924519905353,8.03558383409053e-05,
32,-0.738184347532993,8.022607027361122e-05,
33,-0.7505239462887766,8.332363664082651e-05,
34,-0.7428714213774579,5.562011537792072e-05,
35,-0.7451066368024661,4.93597017184622e-05,
36,-0.6961414918883029,4.925236276763617e-05,
37,-0.743059148876462,5.175393196927457e-05,
38,-0.74160735451328,4.9301889181990185e-05,
39,-0.7700379223898501,5.151350894820767e-05,
40,-0.7656387344347613,4.347357964792705e-05,
41,-0.7113256877566982,3.903618838496428e-05,
42,-0.7457964559669839,3.7884469433862366e-05,
43,-0.7640420709852163,3.084052730582346e-05,
44,-0.7307953054473729,2.832338451207077e-05,
45,-0.731059121833975,3.157535797868278e-05,
46,-0.7387406549152612,3.1417014953026347e-05,
47,-0.7133985074712225,2.7318549588504306e-05,
48,-0.7536412615885775,2.0854691575745815e-05,
49,-0.7670614196047139,1.7411853271598594e-05,
50,-0.7555033168443469,1.669538660436326e-05,
51,-0.7632105629724777,1.841085686216572e-05,
52,-0.7874502897518026,1.8634788215367417e-05,
53,-0.7535801403376248,1.75328233713711e-05,
54,-0.7460945152779072,1.631683059807594e-05,
55,-0.7786490105584142,1.4194467347557387e-05,
56,-0.7982132217075261,1.4475315164412693e-05,
57,-0.8213982080227052,1.5193869447921572e-05,
58,-0.7819720042148003,1.4260193225423396e-05,
59,-0.7726764864138967,1.4146866583173133e-05,
60,-0.7992663089538712,1.3768107437904543e-05,
61,-0.8184589667533134,1.107358554916671e-05,
62,-0.7878805893289587,1.134252176902852e-05,
63,-0.8037662335076127,1.165351328667295e-05,
64,-0.796388096207109,1.182975160696055e-05,
65,-0.7788067328140947,1.0636769227038404e-05,
66,-0.7873815037345713,1.0760562154943559e-05,
67,-0.7547023486528137,1.1556345955217301e-05,
68,-0.763665141938964,8.91962008014185e-06,
69,-0.7953034027376826,8.088180489176527e-06,
70,-0.8059585762943979,9.565764124099799e-06,
71,-0.794680492181778,8.866022749567251e-06,
72,-0.7888449511607964,9.273501369388618e-06,
73,-0.8112774207185889,8.63536040224267e-06,
74,-0.8139581288098445,9.912455987229747e-06,
75,-0.8107140407524882,3.98849029164063e-06,
76,-0.7791397719674649,3.973488806371502e-06,
77,-0.8138109845112091,4.120636873339285e-06,
78,-0.8373750473627372,3.97254039005161e-06,
79,-0.8343465024708816,3.8764393634926916e-06,
80,-0.801140497243616,3.73709447098372e-06,
81,-0.8374852685119046,3.122952267525265e-06,
82,-0.8061840839408885,3.2572376613538925e-06,
83,-0.814857838186131,3.2124952195593105e-06,
84,-0.8040059979894296,3.264748962587547e-06,
85,-0.8134172963002139,3.444988679786963e-06,
86,-0.8164524990079042,3.184834144769208e-06,
87,-0.8387586480126069,3.190988878648305e-06,
88,-0.8435926227043616,3.216804056495473e-06,
89,-0.8044307893885605,3.223271668928894e-06,
90,-0.8223935442013856,3.40727573960178e-06,
91,-0.7942053958023526,3.409056115323764e-06,
92,-0.815236099423161,3.472020226252767e-06,
93,-0.7938822077250953,3.2198300813348967e-06,
94,-0.8078499237522948,3.5619742254103586e-06,
95,-0.8171901610740487,3.4296599213992284e-06,
96,-0.821290738876372,3.6457457288721025e-06,
97,-0.8160081490504423,3.619940764232855e-06,
98,-0.7894117575799677,3.534702845622483e-06,
99,-0.7943859193044872,2.0509976887587277e-06,
100,-0.8387236247936164,2.2430835250489437e-06,
101,-0.8543975075734648,2.1061617922389172e-06,
102,-0.8151007653278967,1.9960169413749103e-06,
103,-0.8271477332850469,1.982630976554214e-06,
104,-0.8137288698431538,2.0240555365552334e-06,
