iteration,lcb,ei,rand
1,-1.2445490088609,0.05100578417159293,
2,-0.74982527701329,0.040239553983629064,
3,-0.7542897978143928,0.025937122675443416,
4,-0.7571202687461484,0.02030581164768421,
5,-0.7598219215976627,0.017026193114670025,
6,-0.7367136954181066,0.015112717565891297,
7,-0.727482439304018,0.011919292504234569,
8,-0.7371483439732573,0.008828551599044821,
9,-0.7376864744366779,0.007931517684022327,
10,-0.7306116986630228,0.006323353036517195,
11,-0.7261109015698024,0.005540028164260041,
12,-0.7226229252360656,0.00522263745036533,
13,-0.7052905003408151,0.004526836329043435,
14,-0.7095050833418793,0.0038390949172672885,
15,-0.6890060076910243,0.0028415330345773924,
16,-0.6917842868829556,0.0024859432468129893,
17,-0.7094573368716277,0.0017700083372137335,
18,-0.7030547455795911,0.001528992855419527,
19,-0.6960993631404783,0.00163369684854832,
20,-0.6802461361692081,0.0015134368203846124,
21,-0.6739219965099335,0.001425662117201095,
22,-0.6734366334706638,0.0012612825276009463,
23,-0.6839824296106317,0.0011514272263466593,
24,-0.6878385458960036,0.001026952259511185,
25,-0.6733614905598567,0.0008656074113269115,
26,-0.692593178260867,0.0007795833806233165,
27,-0.6976561353824444,0.0006134664132898808,
28,-0.7042091166131857,0.0004730914596322979,
29,-0.6942552863959519,0.00038576344383569434,
30,-0.6953478550117772,0.00025713657837299846,
31,-0.7004165743087407,0.00021978800118955435,
32,-0.7233240803710018,0.00024194639788486684,
33,-0.6971274710409897,0.00022434560914317878,
34,-0.711430056148841,0.00020930021510888995,
35,-0.6946946099632291,0.00019793394400506915,
36,-0.7051729783860152,0.0001824578929655269,
37,-0.7221748909647804,0.0001793569147841445,
38,-0.73257461518654,0.00018063712032586755,
39,-0.6978755955732115,0.0001778802414198182,
40,-0.7120319589653741,0.0001715943387412368,
41,-0.7133870639972958,0.00015548260275137979,
42,-0.7316450288154311,8.583633138773078e-05,
43,-0.721264322445017,7.577921474270981e-05,
44,-0.718144988985559,7.219058097748408e-05,
45,-0.7295936746287671,6.308702008924735e-05,
46,-0.6944625858041175,5.757021387848835e-05,
47,-0.7371687991858586,5.414255130873569e-05,
48,-0.7639417594164507,5.3018922808386176e-05,
49,-0.7528376691793714,5.145681049354853e-05,
50,-0.7416587562252057,4.9449435345601996e-05,
51,-0.7374921817302205,4.828008654542703e-05,
52,-0.7403590839496303,4.6325297837117065e-05,
53,-0.7727819745592883,4.6875537733757114e-05,
54,-0.7822042379431042,4.780833012800632e-05,
55,-0.7682061850809672,3.3803598851502344e-05,
56,-0.7809908869012794,3.067589449892639e-05,
57,-0.7917164790780192,2.6724951155592287e-05,
58,-0.7497656657833326,2.396094166452221e-05,
59,-0.7481650195175961,2.394523440649729e-05,
60,-0.7434902908680219,2.2327350395078575e-05,
61,-0.7847149636635777,2.171254091561663e-05,
62,-0.7897469046699126,2.054462849137936e-05,
63,-0.7539613147135923,2.0594834518899784e-05,
64,-0.765879075970307,1.8916213479132205e-05,
65,-0.7829363841146312,2.0396897608550214e-05,
66,-0.7988200246351385,1.7439092611253905e-05,
67,-0.7909867817747724,1.7979807360979848e-05,
68,-0.8067702218264023,1.4778132934641923e-05,
69,-0.7901383938221368,1.4200589047121917e-05,
70,-0.7956202004337277,1.442367955269799e-05,
71,-0.7942697303309564,1.3998749629996595e-05,
72,-0.8032373602007026,1.299704289151135e-05,
73,-0.7859747349947517,1.1817679880309732e-05,
74,-0.7709447743560649,1.2015740529347604e-05,
75,-0.764494125268623,1.167158076179651e-05,
76,-0.8129610876844069,1.1080319313610959e-05,
77,-0.7917117242849985,9.655314501111197e-06,
78,-0.783493295143728,1.0622712968587774e-05,
79,-0.815343222161055,9.978601329519432e-06,
80,-0.8025656134461725,7.777792895140087e-06,
81,-0.799175554798482,7.371952293148984e-06,
82,-0.7973626156957947,7.244753685416556e-06,
83,-0.8273851086975564,7.20959050615365e-06,
84,-0.8189584747497796,7.230410843669281e-06,
85,-0.8311293679189339,7.194982125140399e-06,
86,-0.8270422834210673,7.088679674515605e-06,
87,-0.8448660760059985,6.506678039112472e-06,
88,-0.8304362496510209,6.046772576694214e-06,
89,-0.8109830248944218,5.432416382097246e-06,
90,-0.8430167935873344,5.262524092725895e-06,
91,-0.8311259362633469,5.410144392787978e-06,
92,-0.8442759221107149,4.955748442395046e-06,
93,-0.8133936564660893,4.8050379390670344e-06,
94,-0.7932982920687283,4.427824422535041e-06,
95,-0.8084333384077378,4.419704800894304e-06,
96,-0.8252066841349415,4.365121102434288e-06,
97,-0.8715742653477533,4.585651512422905e-06,
98,-0.8244581848572097,4.543424050555431e-06,
99,-0.8605324818265454,4.364100049923259e-06,
100,-0.8282105003932116,3.976743970879386e-06,
101,-0.8361437884957073,4.150080550758111e-06,
102,-0.8408415764734858,3.6576760374801914e-06,
103,-0.8287493578514881,3.746645367533512e-06,
104,-0.8042557729065549,3.6174765224449564e-06,
105,-0.812927644355789,3.4150025625139894e-06,
106,-0.8412404940853868,3.6445671407405135e-06,
107,-0.8671217809886618,3.759744677785363e-06,
108,-0.8789574535492127,3.3197206098620067e-06,
109,-0.8695729560396704,3.3899537748193595e-06,
110,-0.8769742772672586,3.3469959577908356e-06,
111,-0.8924394943535688,2.9492650823928035e-06,
112,-0.8726095253962762,2.6014965067367914e-06,
113,-0.8859846429082634,2.7956166926353234e-06,
114,-0.8790943080375159,2.6551853745535654e-06,
115,-0.9264950946467484,2.7442165878632177e-06,
116,-0.8887131771457257,2.701862529240622e-06,
117,-0.9324294897752264,2.673456891007826e-06,
118,-0.8991715457742043,2.6737245692757063e-06,
119,-0.9023648379109456,2.6242850904106034e-06,
120,-0.879126491447974,2.541850487853902e-06,
121,-0.8960520898696356,2.5376721989221665e-06,
122,-0.9107505518916102,2.6055597479765984e-06,
123,-0.8766596276484678,2.5841357455427977e-06,
124,-0.8988598640666738,2.247483533390235e-06,
125,-0.9261701698531712,2.3212132283772147e-06,
126,-0.9735679814390364,2.065451416256928e-06,
127,-0.9284188718788975,2.232412659195936e-06,
128,-0.9432628172634355,2.2536662269445436e-06,
129,-0.9552967362827484,2.2555221868583786e-06,
130,-0.9778556063719452,2.0662602948900146e-06,
131,-0.9127862799829504,2.1053502055402527e-06,
132,-0.9825607031920991,2.034401598702896e-06,
133,-0.9287281116717676,2.063843403003735e-06,
134,-0.9304057890553483,2.077301017481356e-06,
135,-0.9653964221792305,1.8083981170321199e-06,
136,-0.9386655936343273,1.741909826802351e-06,
137,-0.9754418343589271,1.793679059860658e-06,
138,-0.9468702840690691,1.7845876424598486e-06,
139,-1.0152896836682546,1.7456616598439875e-06,
140,-1.0137575062094617,1.7124442255581707e-06,
141,-0.9880582914007162,1.6732104387164314e-06,
142,-0.9901116308155453,1.7144126542454132e-06,
143,-0.997856932747286,1.6565882150818025e-06,
144,-0.9625013326031835,1.6780697298453373e-06,
145,-0.9737904210276643,1.7467587459651787e-06,
146,-1.0317126555054146,1.7110873442249781e-06,
