iteration,lcb,ei,rand
1,-0.990023532,0.046433435,
2,-0.753798338,0.030316581,
3,-0.782993004,0.021824336,
4,-0.721959972,0.015430033,
5,-0.711973756,0.012080112,
6,-0.621563224,0.015190669,
7,-0.596598332,0.008273527,
8,-0.624559009,0.00784142,
9,-0.604775637,0.005406895,
10,-0.622663327,0.004205121,
11,-0.616587538,0.004169567,
12,-0.628747202,0.003214861,
13,-0.623677185,0.003033909,
14,-0.634471094,0.001690128,
15,-0.629989131,0.00131771,
16,-0.609288617,0.000697795,
17,-0.60509007,0.000607408,
18,-0.612804493,0.000586322,
19,-0.616510853,0.00065699,
20,-0.629249553,0.000165719,
21,-0.631299496,0.000143397,
22,-0.647605851,0.000146015,
23,-0.638005813,0.000117495,
24,-0.647178428,0.00011411,
25,-0.647587901,0.000115792,
26,-0.639464098,0.000134139,
27,-0.636037016,6.43E-05,
28,-0.658448026,4.59E-05,
29,-0.639337334,3.78E-05,
30,-0.619323745,4.03E-05,
31,-0.638944768,3.69E-05,
32,-0.647073102,3.74E-05,
33,-0.625258073,3.43E-05,
34,-0.647097203,3.52E-05,
35,-0.645442528,3.07E-05,
36,-0.657288195,2.75E-05,
37,-0.657980459,2.72E-05,
38,-0.64545115,2.68E-05,
39,-0.660826355,2.41E-05,
40,-0.695371413,2.36E-05,
41,-0.692572281,2.23E-05,
42,-0.680760755,2.10E-05,
43,-0.714396373,2.30E-05,
44,-0.705934811,2.01E-05,
45,-0.734841177,1.73E-05,
46,-0.746255035,1.82E-05,
47,-0.759367964,1.85E-05,
48,-0.730082501,1.94E-05,
49,-0.722894388,1.57E-05,
50,-0.713307687,1.56E-05,
51,-0.731623106,1.36E-05,
52,-0.715293146,1.24E-05,
53,-0.758226911,1.29E-05,
54,-0.786514285,1.13E-05,
55,-0.813641031,9.71E-06,
56,-0.801714963,8.02E-06,
57,-0.815195995,7.61E-06,
58,-0.794694015,7.26E-06,
59,-0.788752603,6.91E-06,
60,-0.79270083,6.87E-06,
61,-0.779938141,7.59E-06,
62,-0.813480249,6.92E-06,
63,-0.787317234,7.35E-06,
64,-0.786475285,7.30E-06,
65,-0.826342248,7.57E-06,
66,-0.813707749,6.06E-06,
67,-0.800471433,5.73E-06,
68,-0.82816888,3.87E-06,
69,-0.822593508,2.92E-06,
70,-0.80965745,2.93E-06,
71,-0.798261128,2.90E-06,
72,-0.783342368,3.55E-06,
73,-0.820654079,2.79E-06,
74,-0.825046728,2.81E-06,
75,-0.803254598,3.01E-06,
76,-0.749163438,3.05E-06,
77,-0.77041132,3.49E-06,
78,-0.76568955,3.21E-06,
79,-0.77454913,3.26E-06,
80,-0.786108795,4.11E-06,
81,-0.809657733,3.96E-06,
82,-0.833333597,3.93E-06,
83,-0.82829556,3.77E-06,
84,-0.787451087,4.27E-06,
85,-0.82794785,2.84E-06,
86,-0.841857488,3.02E-06,
87,-0.85485943,2.82E-06,
88,-0.861124931,2.82E-06,
89,-0.858210717,2.99E-06,
90,-0.849849589,2.73E-06,
91,-0.843723223,2.57E-06,
92,-0.869694527,2.36E-06,
93,-0.841453536,2.32E-06,
94,-0.82575292,2.36E-06,
95,-0.8111149,2.79E-06,
96,-0.836691857,2.74E-06,
97,-0.818929095,2.77E-06,
98,-0.830369053,2.61E-06,
99,-0.816337746,1.22E-06,
100,-0.863581955,1.21E-06,
101,-0.861500997,1.30E-06,
102,-0.862988407,1.29E-06,
103,-0.860601068,1.30E-06,
104,-0.865880189,1.38E-06,
105,-0.885757072,1.39E-06,
