iteration,lcb,ei,rand
1,-0.8084840674888635,0.00010187865396950714,
2,-0.7394266247530398,9.804280712385707e-05,
3,-0.7328564046082866,0.00011482947672513503,
4,-0.7305895582674587,0.00013149356290994034,
5,-0.7305233648259112,0.00010581133674748967,
6,-0.7296046100038635,0.00010338375404812324,
7,-0.7290899323996068,9.875482502668184e-05,
8,-0.7287199009143974,9.896678335588901e-05,
9,-0.7285806137515505,0.00010142075880714547,
10,-0.7289247934747759,9.967030921069069e-05,
11,-0.7299060293384236,0.0001005545584108255,
12,-0.7314464719040086,9.969785177045157e-05,
13,-0.7275907697998079,1.1974739437654915e-05,
14,-0.7289302555127981,1.0773741561465086e-05,
15,-0.7306233091907487,1.1120521648066985e-05,
16,-0.730174213981012,1.0950827036826085e-05,
17,-0.7326762536895555,1.0997858204544649e-05,
18,-0.730208208585594,1.1324577678054674e-05,
19,-0.7316542165729609,1.145795026772479e-05,
20,-0.7326048037392523,1.0447375266912017e-05,
21,-0.7322435839447085,1.0837416969792552e-05,
22,-0.7333470720264288,9.981274711449021e-06,
23,-0.7364978486948508,9.232448364162694e-06,
24,-0.7353307620740536,8.383221727395678e-06,
25,-0.7379311302886022,5.310472296044139e-06,
26,-0.7378495462394418,5.280148522137621e-06,
27,-0.7357138496583115,5.595560407724051e-06,
28,-0.7390185548845161,5.165963395128956e-06,
29,-0.7402380255950957,4.9964579765643615e-06,
30,-0.7424113838701537,4.645047521739985e-06,
31,-0.7443851165348194,4.614523528084189e-06,
32,-0.7442897137350122,4.459429469981754e-06,
33,-0.7433779464531888,4.231903359974735e-06,
34,-0.7464110473755272,4.4240996978187876e-06,
35,-0.7483133659445855,4.405944404378947e-06,
36,-0.7492147265771343,3.9844318772704685e-06,
37,-0.7535868612573552,4.020716081260468e-06,
38,-0.7552018218680959,4.056202659013943e-06,
39,-0.7564429648846313,4.082395649441378e-06,
40,-0.753632580720482,3.7411261984724483e-06,
41,-0.7573389184312346,3.7028179468250203e-06,
42,-0.7569489347381767,3.3512749406226126e-06,
43,-0.7589645158131971,3.4523911069397126e-06,
44,-0.7650071254366325,3.4670391142694312e-06,
45,-0.7706248454857796,3.2402357687060397e-06,
46,-0.7652445976537996,3.471370214462435e-06,
47,-0.7712184286415245,3.200544093580007e-06,
48,-0.7749481176301135,3.196473536409765e-06,
