iteration,lcb,ei,rand
1,-0.7474648076143684,0.0001299029690018581,
2,-0.7241583872678938,6.775966538740502e-05,
3,-0.7205564150182582,7.331251788111175e-05,
4,-0.719452675025786,5.147606523481788e-05,
5,-0.7188603817620988,4.46175072257164e-05,
6,-0.7186803267426122,4.365429144579423e-05,
7,-0.719609462250127,4.3232618332319044e-05,
8,-0.7203117096985585,4.246385892859566e-05,
9,-0.7218036143994168,4.301865739438887e-05,
10,-0.7226681327382777,4.517333473242771e-05,
11,-0.7215549112022985,4.050039003810682e-05,
12,-0.7229465489744996,1.9852099080142168e-05,
13,-0.7241793037517534,2.0198089962176247e-05,
14,-0.7253262338046963,2.0018861617653805e-05,
15,-0.7264685797504515,2.0095013362362747e-05,
16,-0.7267603813868891,1.449035555443908e-05,
17,-0.727594465039339,1.2526339041324187e-05,
18,-0.727841421744036,1.2722595259100084e-05,
19,-0.7299216515696975,9.914758475260968e-06,
20,-0.7317853443851476,8.696040838996226e-06,
21,-0.7330127356367605,8.558052158994627e-06,
22,-0.7357272661452317,8.44041096264881e-06,
23,-0.7364381642512998,8.5475826616126e-06,
24,-0.7375119003594045,8.337132016843348e-06,
25,-0.7404765480298129,7.81998264994248e-06,
26,-0.7413928665355247,7.69689971109477e-06,
27,-0.7453375512021752,7.729629212681485e-06,
28,-0.7462116435479821,7.563702525506845e-06,
29,-0.7502493630729559,7.501685116925699e-06,
30,-0.7486423226815792,7.058483083115251e-06,
31,-0.753842151263099,3.3728030256245254e-06,
32,-0.7545778051565694,3.216869748916042e-06,
33,-0.7585130955717587,3.0389883689756606e-06,
34,-0.7596730984535295,3.0100480704321643e-06,
35,-0.761979474077506,3.0242728892544646e-06,
36,-0.7640786975065866,3.079139165551944e-06,
37,-0.7633146037270312,3.0732216579920223e-06,
38,-0.7645410416575389,3.138505133990321e-06,
39,-0.7715477335257823,3.0486315564395026e-06,
40,-0.7752797362965894,3.0438733055350684e-06,
41,-0.7792272284750383,3.1639240918062205e-06,
42,-0.7800516167220332,3.138508790326945e-06,
43,-0.7806587999705005,3.163081459253679e-06,
44,-0.7861218172261539,2.8734358750633446e-06,
45,-0.7852632398701447,2.7196797258309385e-06,
46,-0.7903768476121364,2.6679441795387767e-06,
47,-0.7907529766579294,2.706948408271556e-06,
48,-0.7983627152352427,2.4621568382181837e-06,
49,-0.7995918575706351,2.46706881971839e-06,
50,-0.8032662072652177,2.4755238948599853e-06,
51,-0.8044819382092108,2.463741229209911e-06,
52,-0.8127363738578066,2.418771639754883e-06,
53,-0.8164810785088651,2.4760739224735786e-06,
54,-0.8184880292707846,2.344827545273493e-06,
55,-0.8208598550919093,2.252072678457524e-06,
56,-0.8229779666840655,2.3122688258812173e-06,
57,-0.8224674862748812,2.3349472449230763e-06,
58,-0.8282417869613279,2.2541280541734063e-06,
59,-0.8376514947688396,2.174831677468125e-06,
60,-0.8408862248622782,2.251357485510497e-06,
61,-0.8387229582417127,2.246951101020077e-06,
62,-0.8446657461304596,2.253000888592599e-06,
63,-0.8532428028491271,2.013130831774615e-06,
64,-0.85017435736127,1.910368196352581e-06,
65,-0.8559514025467991,1.8703884408757168e-06,
66,-0.8694165199450787,1.8703195096160302e-06,
67,-0.8630678238834318,1.8722357676262948e-06,
68,-0.8707903197640929,1.847375842832286e-06,
69,-0.8846594712239826,1.8361202823642394e-06,
70,-0.8830744041354178,1.8443879743603266e-06,
71,-0.8755351884047197,1.8146483206224476e-06,
72,-0.8873148127018284,1.8517859141673425e-06,
73,-0.8876535706989689,1.8448221038278558e-06,
74,-0.8868620217686398,1.866893799092545e-06,
75,-0.8949896372885227,1.4437624097216335e-06,
76,-0.8996916505440666,1.438320912263916e-06,
77,-0.9104589850224896,1.3944578009796071e-06,
78,-0.9150445550796917,1.3770983881059249e-06,
79,-0.9229652457902318,1.3569188936238797e-06,
80,-0.9084385858641568,1.3106530134536591e-06,
81,-0.9190906601823111,1.212873968561362e-06,
82,-0.9284208022110636,1.200848498134536e-06,
83,-0.9415338022148929,1.2256521301480912e-06,
84,-0.9484700612038219,1.1992530759027311e-06,
85,-0.9496307605738515,1.1893633165810455e-06,
86,-0.9570228167651664,1.1512314409309777e-06,
87,-0.9595233622472878,1.1513604180374034e-06,
88,-0.9613353767124062,1.158956876628147e-06,
89,-0.9528915832152566,1.170384938359254e-06,
90,-0.9783150820586166,1.1547011283227797e-06,
91,-0.9734265126133194,9.571792714185863e-07,
92,-0.9789589157778633,8.906493484745511e-07,
93,-0.9906380441867065,8.84092305630904e-07,
94,-0.9855253759264724,8.831757062030363e-07,
95,-0.9874259992481913,8.898965853173883e-07,
96,-0.9929511982247585,9.227420498123084e-07,
97,-1.019586686263066,8.371553535479791e-07,
98,-1.0312793768875468,8.353447373629818e-07,
99,-1.028381313526958,8.229498616896851e-07,
100,-1.0339584189796434,8.256293124287385e-07,
101,-1.0390737697985513,8.28075911294695e-07,
102,-1.0437582127597984,8.290414060210654e-07,
103,-1.0592630077612373,8.186218615780023e-07,
104,-1.0573298929271187,8.291690557272238e-07,
105,-1.058482000852595,8.080710207539369e-07,
106,-1.070156663901797,8.057568603059598e-07,
107,-1.0856808836006686,8.086251994897608e-07,
108,-1.085631168460558,8.014752539490968e-07,
109,-1.0976038666275683,8.124884590151637e-07,
110,-1.1171183045211739,7.957040822849232e-07,
111,-1.1049807342435443,7.95528741961376e-07,
112,-1.1332928459687341,8.08538898508148e-07,
113,-1.112313676608706,7.841607080446501e-07,
114,-1.1312335687808026,7.763119801307461e-07,
115,-1.147530020554224,7.753553977510814e-07,
116,-1.1635860215153704,7.554461745512273e-07,
117,-1.1208492428567092,7.699031644233843e-07,
118,-1.1360412682313925,7.570529446425991e-07,
119,-1.1544233513024305,7.5443361274594e-07,
120,-1.1831912765774826,7.482360096646707e-07,
121,-1.192532873749076,7.44055451672975e-07,
122,-1.185182567549415,7.459741870920872e-07,
123,-1.1985101672083522,7.477789810739037e-07,
124,-1.1872504135955944,7.3233289934685e-07,
125,-1.2005774391546025,7.147177436730318e-07,
126,-1.2208225659473406,7.295745310375802e-07,
127,-1.2071273311189692,7.179412798261285e-07,
128,-1.2204395029383852,6.940256722989531e-07,
129,-1.2255150498266862,6.853682353699046e-07,
130,-1.2602380097567694,6.94008540766105e-07,
131,-1.2565598663633963,6.79460602852789e-07,
132,-1.2719952348981518,6.752168594617762e-07,
133,-1.2529417946812291,7.014078257411587e-07,
134,-1.2403867562674367,6.705775610050052e-07,
135,-1.271424915036784,6.873596933515699e-07,
136,-1.2949760016863896,6.791894373204536e-07,
137,-1.312700826894988,6.824908421332888e-07,
138,-1.31804580053941,6.574941454020718e-07,
139,-1.3268478252076492,6.651209280761038e-07,
140,-1.3522366587703953,6.236066511852988e-07,
141,-1.3663078598722607,6.247493899328024e-07,
142,-1.3803510126448015,6.362496959364371e-07,
143,-1.4042171922051758,6.306158955826523e-07,
144,-1.4237617216582061,6.152007799725342e-07,
145,-1.4174196631833849,5.901680432209939e-07,
146,-1.434742768878656,5.930345981947534e-07,
147,-1.4578890392694428,6.023402132429786e-07,
148,-1.4764610313320263,5.897304540878236e-07,
149,-1.4839009979485798,6.032179254890451e-07,
150,-1.5177963635338887,5.692650209198476e-07,
151,-1.5208467205013536,5.664725007013669e-07,
152,-1.5391043988861208,5.545612007341179e-07,
153,-1.5262899167575574,5.265271175640386e-07,
154,-1.55817352536224,5.345120742127616e-07,
155,-1.567722653023242,5.244391880233937e-07,
156,-1.5310956459220129,5.115340059749093e-07,
157,-1.5822568998867705,5.010029603124762e-07,
158,-1.6203560627250093,4.915974786298745e-07,
159,-1.6759417992490908,4.842591427319126e-07,
160,-1.7063273486078216,4.872628037076036e-07,
161,-1.7125177397918474,4.7623166307088254e-07,
162,-1.733026742009866,4.7452336931539805e-07,
163,-1.7970674843919061,4.634815515215622e-07,
164,-1.8290932729206544,4.82706722976614e-07,
165,-1.842200961183857,4.607490625209684e-07,
166,-1.892617478090788,4.5203790094323754e-07,
167,-1.9346817853327385,4.4770360476821565e-07,
168,-1.991367050753542,4.383541380430616e-07,
169,-2.001136448088319,4.214745278357494e-07,
170,-2.0652163438163917,3.928334033653163e-07,
171,-2.1092356887472263,3.675029926825239e-07,
172,-2.152336599677846,3.6817492178720744e-07,
173,-2.1575369151392088,3.5020132217358636e-07,
174,-2.2709568098428923,3.3409926055937873e-07,
175,-2.2954532832726198,3.22146040510959e-07,
176,-2.3547454208844534,3.0704965795943624e-07,
177,-2.448707359082577,2.8835198043427506e-07,
178,-2.4897949000705606,2.7243641801177974e-07,
179,-2.5551351378453484,2.5002111647614616e-07,
180,-2.62069313717361,2.412624087603783e-07,
181,-2.6795087516260234,2.2585005143061532e-07,
182,-2.7203834664969286,2.1128295021101894e-07,
183,-2.7400880861669616,2.0474656181939037e-07,
184,-2.7972996264446333,1.9079158827803295e-07,
185,-2.8641599053286875,1.8693804666436353e-07,
186,-2.8873788450045703,1.7921215453680444e-07,
187,-2.9650794903974944,1.6697963571261073e-07,
188,-3.0293612607886353,1.5654758442693725e-07,
189,-3.0678939399028997,1.475503298265681e-07,
190,-3.132395317989045,1.4087469267232832e-07,
191,-3.2583368990941035,1.2635366016481885e-07,
192,-3.345427555541057,1.1274045296432752e-07,
193,-3.501796762180421,1.0542285874960656e-07,
194,-3.711750594862086,9.214247765878709e-08,
195,-3.8477078722631086,7.944388732619986e-08,
196,-3.99009665297691,7.665299763951532e-08,
197,-4.295539386344464,6.05246501971527e-08,
198,-4.438297205864955,5.139086508205304e-08,
199,-4.737266252749375,4.414638700916431e-08,
200,-4.99924865931568,3.67101795626287e-08,
201,-5.536939448687849,2.7276407053123345e-08,
202,-6.371506687574389,1.787580578914236e-08,
203,-10.909338270491581,7.849697724171295e-09,
204,-941.3373059032776,2.809487740801121e-09,
205,-284.8189329398279,1.7460846948293047e-08,
206,-71.45814724645706,2.5143975862762e-08,
