iteration,lcb,ei,rand
1,-0.6436223974723361,0.00012990296900185932,
2,-0.6530357353948563,6.77596653874054e-05,
3,-0.6136953181276862,7.33125178811154e-05,
4,-0.6065733513151232,5.1476065234821004e-05,
5,-0.6077756161301974,4.4617507225721795e-05,
6,-0.6054896390372057,4.365429144581354e-05,
7,-0.6064654758236299,4.3232618332304035e-05,
8,-0.6080612101776761,4.246385892859959e-05,
9,-0.6059232759501705,4.301865739422984e-05,
10,-0.6035053211167813,4.517333473253708e-05,
11,-0.6008160312464116,4.050039003917118e-05,
12,-0.5982276170205388,1.985209907953709e-05,
13,-0.5965489037154537,2.019808995286631e-05,
14,-0.5937360579360731,2.001886161208616e-05,
15,-0.5961193658145765,2.009501337270327e-05,
16,-0.5976460871360838,1.4490355485351427e-05,
17,-0.5988452702661317,1.2526339065916325e-05,
18,-0.5973464028501503,1.272259531381608e-05,
19,-0.6000946940053214,9.914758575610273e-06,
20,-0.6001934839616643,8.696040739075893e-06,
21,-0.6008462119357985,8.558051007915035e-06,
22,-0.6006441008162305,8.440411891095088e-06,
23,-0.5945041923048172,8.547582659612374e-06,
24,-0.5945005600636827,8.337134612866515e-06,
25,-0.599173560072742,7.819983048530315e-06,
26,-0.6007754480798446,7.696896501939476e-06,
27,-0.5977473967258132,7.72962649113796e-06,
28,-0.6012312894446734,7.563700566108939e-06,
29,-0.6029910987259421,7.50168077528984e-06,
30,-0.6049310986035517,7.0584579189472965e-06,
31,-0.6054891321069963,3.3727598515891786e-06,
32,-0.6048697450761542,3.216888161509561e-06,
33,-0.6060124949174552,3.0390036431436502e-06,
34,-0.6085804567697193,3.010012862899363e-06,
35,-0.6101042932322419,3.0242867415626985e-06,
36,-0.609178098801204,3.079129490680477e-06,
37,-0.6123515344899559,3.0732239843964934e-06,
38,-0.6092361937898099,3.138507917475155e-06,
39,-0.6082093835333162,3.0486319794448596e-06,
40,-0.6096346324291853,3.043546631642564e-06,
41,-0.61118272798382,3.164802663700109e-06,
42,-0.610963702785827,3.139071551194732e-06,
43,-0.6162808956405152,3.163450530928788e-06,
44,-0.6170767102544645,2.874184615913927e-06,
45,-0.6159065773356068,2.72139113884229e-06,
46,-0.6154206034008972,2.6685583697745966e-06,
47,-0.6146370923865241,2.7076947872744643e-06,
48,-0.6094397547036113,2.4626907829357863e-06,
49,-0.6139243886579817,2.463100689396709e-06,
50,-0.619844377238033,2.4769176731848476e-06,
51,-0.6194800823489568,2.4627911366969904e-06,
52,-0.6151813440436865,2.421676056000491e-06,
53,-0.6212538154563441,2.476083813980004e-06,
54,-0.6249817737543528,2.3442619383667495e-06,
55,-0.6315800874044547,2.2508476106684465e-06,
56,-0.6219375641885594,2.312331273009719e-06,
57,-0.6270317284996348,2.334846887795204e-06,
58,-0.6240869073516585,2.2541182430084864e-06,
59,-0.6334144569626584,2.1748665839829438e-06,
60,-0.6295530915825999,2.2513844248646444e-06,
61,-0.6377725727239238,2.2468245787412113e-06,
62,-0.6381648499877745,2.2530786286059878e-06,
63,-0.6377106344877835,2.013263217324488e-06,
64,-0.6461108508280965,1.9103508995621426e-06,
65,-0.6437382074476653,1.8703822018266381e-06,
66,-0.6494481687302541,1.8702855268759317e-06,
67,-0.6468727215420776,1.872266534869848e-06,
68,-0.6632963024126213,1.8473743132528423e-06,
69,-0.6619901928336128,1.8361937634792532e-06,
70,-0.6690357383002976,1.8443299831666951e-06,
71,-0.6815557159544519,1.8137924490947734e-06,
72,-0.6824493877794814,1.8516270082775857e-06,
73,-0.6736499776970445,1.8437975458976397e-06,
74,-0.6832576561772901,1.8668482900951194e-06,
75,-0.6794413016818409,1.4444682147137813e-06,
76,-0.6939364432308437,1.438690937012625e-06,
77,-0.6939421221632044,1.394444095968315e-06,
78,-0.6919196020129639,1.3771368567259028e-06,
79,-0.6965958175409657,1.3568986852316348e-06,
80,-0.7041287118701485,1.3105727876602305e-06,
81,-0.7039269358870797,1.211890869832526e-06,
82,-0.7179100871873588,1.2012814795666274e-06,
83,-0.7088576024051472,1.2256175678720192e-06,
84,-0.7150654424731604,1.1992367434926702e-06,
85,-0.7191538834178806,1.1891587956914346e-06,
86,-0.7250232094221049,1.1512363152356835e-06,
87,-0.731523224176857,1.1512242881252814e-06,
88,-0.7342498712301975,1.1588896216156995e-06,
89,-0.729988937164614,1.1704031871948975e-06,
90,-0.7387304371335932,1.1545799925420145e-06,
91,-0.7470571026059695,9.56533336490922e-07,
92,-0.757246247929681,8.907058149061352e-07,
93,-0.7529682947296444,8.840794224953719e-07,
94,-0.757370010691919,8.830670333346443e-07,
95,-0.7602568174122731,8.898263845842069e-07,
96,-0.7698913732221702,9.226507703317504e-07,
97,-0.7782744087201056,8.371147379901675e-07,
98,-0.7805543625312541,8.349076820900242e-07,
99,-0.7835455768693786,8.222707263355289e-07,
100,-0.7978049392083072,8.247875754293255e-07,
101,-0.7952273563635133,8.262898177471748e-07,
102,-0.8046386138341377,8.296390101648689e-07,
103,-0.8054061867485451,8.179886389224834e-07,
104,-0.801961441203747,8.28690830177208e-07,
105,-0.8155611558718665,8.070953191614654e-07,
106,-0.8176253375745577,8.055117115813751e-07,
107,-0.8319411399337084,8.106487721058526e-07,
108,-0.8245165325337878,8.010456631126406e-07,
109,-0.8250683612861048,8.118350348172022e-07,
110,-0.8405333992426965,7.95374691560927e-07,
111,-0.8346791392006625,7.947819757931988e-07,
112,-0.8484511982303341,8.073856538785489e-07,
113,-0.8482587918138491,7.818072613902036e-07,
