iteration,lcb,ei,rand
1,-1.243920099,0.000421727,
2,-1.008680731,0.000489521,
3,-0.940839143,0.000515827,
4,-0.859442423,0.000553417,
5,-0.85441854,0.000576723,
6,-0.811343651,0.000593576,
7,-0.806418613,0.000610545,
8,-0.797139806,0.000627854,
9,-0.788291139,0.000648438,
10,-0.785288763,0.000661523,
11,-0.785081991,0.000663115,
12,-0.778211777,0.000678483,
13,-0.773528495,0.000687549,
14,-0.770834672,0.000680589,
15,-0.769728659,0.000685585,
16,-0.770181332,0.00069043,
17,-0.760905809,0.000708087,
18,-0.753670345,0.000691622,
19,-0.752272241,0.000697646,
20,-0.752121895,0.000692814,
21,-0.753573728,0.000700549,
22,-0.75168372,0.000698968,
23,-0.756120744,0.000705579,
24,-0.758932903,0.000716589,
25,-0.762306708,0.000719427,
26,-0.75910146,0.000713155,
27,-0.754717615,0.000695633,
28,-0.749509215,0.000695659,
29,-0.748720732,0.000689205,
30,-0.750405602,0.000726891,
31,-0.749985709,0.000732102,
32,-0.753326727,0.000724974,
33,-0.752482182,0.000715766,
34,-0.751066137,0.000703782,
35,-0.756054506,0.000726087,
36,-0.759919456,0.000710979,
37,-0.762119853,0.000717827,
38,-0.769787061,0.000727739,
39,-0.770886241,0.000720538,
40,-0.77179845,0.000708914,
41,-0.775882976,0.000695928,
42,-0.776726818,0.000700539,
43,-0.786327814,0.000694445,
44,-0.783681074,0.000688248,
45,-0.784623743,0.00069851,
46,-0.786274442,0.000695887,
47,-0.79149901,0.000685443,
48,-0.791023845,0.000714738,
49,-0.801546327,0.000709392,
50,-0.805860311,0.000707156,
51,-0.805919266,0.00070622,
52,-0.810648667,0.000683064,
53,-0.807027187,0.00068315,
54,-0.811325881,0.000692687,
55,-0.820345676,0.000687773,
56,-0.815499234,0.000682628,
57,-0.828105911,0.000697742,
58,-0.825717306,0.000701384,
59,-0.832445339,0.000687585,
60,-0.8354404,0.000676643,
61,-0.837681079,0.000682773,
62,-0.830776514,0.000665914,
63,-0.847940806,0.000678836,
64,-0.85625909,0.000682538,
65,-0.862853536,0.000680066,
66,-0.856096029,0.000676455,
67,-0.861336959,0.000668484,
68,-0.856633447,0.000677371,
69,-0.868357341,0.000668194,
70,-0.866369021,0.000662676,
71,-0.871349786,0.000663446,
72,-0.850969203,0.000635834,
73,-0.853416953,0.000644366,
74,-0.857731978,0.000630322,
75,-0.873353462,0.000649752,
76,-0.869743554,0.000644517,
77,-0.883944091,0.000654796,
78,-0.861031405,0.000652559,
79,-0.862540272,0.000652956,
80,-0.871865245,0.000635762,
81,-0.850678629,0.000624451,
82,-0.855559355,0.000629883,
83,-0.863233322,0.00063414,
84,-0.860472718,0.000629928,
85,-0.871583795,0.000620155,
86,-0.877839175,0.000633221,
87,-0.899036039,0.000649349,
88,-0.899938726,0.000638017,
89,-0.894385754,0.000641196,
90,-0.898740554,0.000623998,
91,-0.904908535,0.000610733,
92,-0.903480049,0.000624408,
93,-0.892284161,0.000606568,
94,-0.902818763,0.000616711,
95,-0.919343702,0.000612472,
96,-0.914321612,0.000615456,
97,-0.90488279,0.000637871,
98,-0.908832453,0.000620383,
99,-0.914782885,0.000621091,
100,-0.89933479,0.000636906,
101,-0.924591024,0.000620727,
102,-0.918177238,0.000619927,
103,-0.921923541,0.00063153,
104,-0.918276549,0.000623671,
105,-0.909560562,0.000614196,
106,-0.906367799,0.000613951,
107,-0.911212832,0.000599904,
108,-0.909014718,0.000620094,
109,-0.909362914,0.000622935,
110,-0.899911054,0.000615838,
111,-0.892509662,0.000619753,
112,-0.888016156,0.000601331,
113,-0.892294819,0.000588346,
114,-0.900190383,0.000585442,
115,-0.903244296,0.00058236,
116,-0.895875545,0.00057639,
117,-0.897789332,0.000582336,
118,-0.919926089,0.000600746,
119,-0.910454705,0.000593425,
120,-0.906261133,0.000582095,
121,-0.908384361,0.000564834,
122,-0.904044752,0.000576468,
123,-0.905636342,0.000580522,
124,-0.916857858,0.000580175,
125,-0.930977429,0.000586169,
126,-0.925259391,0.000574124,
127,-0.936438046,0.000552545,
128,-0.932406195,0.000549386,
129,-0.944314289,0.000536349,
130,-0.948318458,0.000549796,
131,-0.937879454,0.000540123,
132,-0.937431236,0.000540263,
133,-0.951576039,0.000540441,
134,-0.953407876,0.000535872,
135,-0.959324083,0.000524418,
136,-0.957202081,0.000518396,
137,-0.952466937,0.000511129,
138,-0.965964137,0.000510331,
139,-0.967656873,0.000506162,
140,-0.964044627,0.000505688,
141,-0.982971275,0.000507231,
142,-0.98551154,0.000515606,
143,-0.967943285,0.000505515,
144,-0.975485119,0.000508528,
145,-0.98275869,0.000493275,
146,-0.984561491,0.000495051,
147,-0.995740574,0.00050044,
148,-1.017495585,0.000493608,
149,-1.018595528,0.000492055,
150,-1.006983184,0.000494376,
151,-1.023428521,0.000478247,
152,-1.046397804,0.000474137,
153,-1.064302684,0.000474753,
154,-1.056432437,0.000470995,
155,-1.039553464,0.000481017,
156,-1.039897284,0.000466433,
157,-1.065039608,0.00046258,
158,-1.07272987,0.000471757,
159,-1.07445318,0.000467017,
160,-1.082602599,0.000453729,
161,-1.095903601,0.000456313,
162,-1.087721917,0.00044077,
163,-1.10993426,0.000454793,
164,-1.095683431,0.000456357,
165,-1.135867193,0.000445649,
166,-1.127912333,0.000440248,
167,-1.112515263,0.000436108,
168,-1.132483958,0.000450094,
169,-1.130573425,0.000456211,
170,-1.131190063,0.000446306,
171,-1.15406771,0.000432922,
172,-1.186878002,0.000437563,
173,-1.175348232,0.000442076,
174,-1.172839874,0.000450013,
175,-1.190191775,0.000447033,
176,-1.209567276,0.000426381,
177,-1.230030399,0.00042593,
178,-1.255071812,0.000424027,
179,-1.272596019,0.000421632,
180,-1.299625238,0.000446624,
181,-1.308812005,0.000462295,
182,-1.32613684,0.000448284,
183,-1.323161696,0.000442629,
184,-1.341453353,0.000430814,
185,-1.356709453,0.00042171,
186,-1.384192278,0.000407884,
187,-1.41274221,0.000437337,
188,-1.415656857,0.000435855,
189,-1.425815674,0.000439294,
190,-1.422584044,0.000405758,
191,-1.460100312,0.000404078,
192,-1.446284407,0.000384172,
193,-1.465085581,0.000371504,
194,-1.471947905,0.000379878,
195,-1.460702158,0.000363969,
196,-1.514450142,0.000366433,
197,-1.535735481,0.000356774,
198,-1.542317617,0.000352223,
199,-1.542494528,0.000351222,
200,-1.543781373,0.000354562,
201,-1.575225189,0.000331506,
202,-1.588380966,0.000321892,
203,-1.623527165,0.000340401,
204,-1.610097131,0.00032715,
205,-1.609216031,0.000317058,
206,-1.677529456,0.000323666,
207,-1.731606561,0.000337548,
208,-1.779252345,0.000337962,
209,-1.823262658,0.000356258,
210,-1.853682674,0.000365436,
211,-1.900547398,0.000359204,
212,-1.954610373,0.000333637,
213,-2.01280845,0.000321127,
214,-2.033907968,0.000300356,
215,-2.110975904,0.000299069,
216,-2.158515118,0.000292856,
217,-2.243964954,0.000292573,
218,-2.311833669,0.00028718,
219,-2.35675922,0.00027233,
220,-2.41792726,0.00026883,
221,-2.460636455,0.000257466,
222,-2.522156754,0.000241368,
223,-2.586531615,0.000233738,
224,-2.609642237,0.00021866,
225,-2.678339003,0.000209574,
226,-2.703352988,0.000194943,
227,-2.723058716,0.000192737,
228,-2.74763494,0.000193503,
229,-2.822587678,0.000191929,
230,-2.867316938,0.000190975,
231,-2.948381956,0.000188063,
232,-2.981312861,0.000174763,
233,-3.121959591,0.000169967,
234,-3.194353402,0.00016305,
235,-3.24097169,0.000146017,
236,-3.313167479,0.00013877,
237,-3.547706546,0.000125359,
238,-3.659868329,0.000115043,
239,-3.936997081,0.000104485,
240,-4.153224054,9.263017696115183e-05,
241,-4.333901127,8.434219518876082e-05,
242,-4.471683929,8.129070657010536e-05,
243,-4.616970213,6.922882826004078e-05,
244,-4.876383086,6.081582399368136e-05,
245,-5.049072239,5.216178681613862e-05,
246,-5.81556479,3.9487673078530265e-05,
247,-6.75745771,2.5722446755125084e-05,
248,-12.2604037,1.0629925837794994e-05,
249,-7312.259329,8.822616834857462e-06,
250,-777.3600741,6.261327072210368e-06,
251,-93.19422805,1.3246185830218306e-05,
