iteration,lcb,ei,rand
1,-1.069360896662365,0.05521991377578485,
2,-0.9870230764695966,0.0340607534949778,
3,-0.8796342461561879,0.023500116497072173,
4,-0.8723953379519546,0.019599813947866356,
5,-0.8545311822492744,0.015925335875755987,
6,-0.8114096335375097,0.011811745469293276,
7,-0.8028677434954795,0.007017686388994874,
8,-0.7927181258881769,0.006420320799514553,
9,-0.7894940108490066,0.00432546778926799,
10,-0.7958052320025475,0.003844356307806298,
11,-0.7930071970697012,0.0036777014381432255,
12,-0.7992168864441456,0.0023950843013721087,
13,-0.7936139067988444,0.0014337855052938891,
14,-0.7778424192190241,0.0005913104571134699,
15,-0.7871218098714872,0.0006327844598120817,
16,-0.7825169970378402,0.0005629565299302981,
17,-0.7870457293707749,0.0005674631969515757,
18,-0.7907305583359567,0.0005367561681164263,
19,-0.7910953185295273,0.0004234173415896103,
20,-0.7872461366836947,0.00019054159263264195,
21,-0.7923372927034859,0.00018910576804852133,
22,-0.7913179150261062,0.00012688010170237575,
23,-0.7983249856790117,0.00011310441704404214,
24,-0.7930340858188923,9.528069047295894e-05,
25,-0.7977564753833924,9.630611106804259e-05,
26,-0.7951526267894633,7.425774125621136e-05,
27,-0.7918762140636944,7.217959278141375e-05,
28,-0.7894321877205682,7.091921843195955e-05,
29,-0.7897773967524696,5.536333932404722e-05,
30,-0.7901822587244212,5.3649171189223917e-05,
31,-0.7912009612197076,5.497205221271775e-05,
32,-0.7913568026358626,4.9245357663298535e-05,
33,-0.7985407878785981,5.3763260574533725e-05,
34,-0.8007776685661819,5.082861832846192e-05,
35,-0.803962118972525,5.061115914404887e-05,
36,-0.8112060773790851,5.4358056833352386e-05,
37,-0.8095266005074798,5.571385085264344e-05,
38,-0.8138314173152602,4.4217186088097785e-05,
39,-0.8245925471890176,4.496046437571178e-05,
40,-0.8327346229471232,4.4967225974484606e-05,
41,-0.8348980793900077,4.5027226293944555e-05,
42,-0.826200726956283,4.16520576714342e-05,
43,-0.8413427098187256,4.096005552340191e-05,
44,-0.8312073130880607,3.861331179731447e-05,
45,-0.8344139256118062,3.8435421936545565e-05,
46,-0.8464520069397587,3.627621607577141e-05,
47,-0.8467185290146827,3.5826522422941196e-05,
48,-0.8609759782006847,2.9467494560383427e-05,
49,-0.8474994668317624,2.8658893352292965e-05,
50,-0.8546698562081667,2.737265962305108e-05,
51,-0.8694937799372449,2.2466771890332906e-05,
52,-0.8612562194228615,1.2535925857981925e-05,
53,-0.8831877359366236,1.4276149936273404e-05,
54,-0.8780684101469621,1.3520374889321803e-05,
55,-0.8676168482890201,1.4115527742206817e-05,
56,-0.8727441555505874,1.2007459177321366e-05,
57,-0.8747741960242277,1.2438324524623998e-05,
58,-0.8636488634104592,1.3238641031717705e-05,
59,-0.8436161709139459,1.1037968166503725e-05,
60,-0.8552179619127049,1.1588083398136802e-05,
61,-0.8759490688262201,1.1446699585162914e-05,
62,-0.860276847024128,1.1689165597471763e-05,
63,-0.8749024579029103,1.124347638152198e-05,
64,-0.8568606537437379,1.1359786631794248e-05,
65,-0.8418789833799317,8.36287767616689e-06,
66,-0.8737224796784874,7.632468574211185e-06,
67,-0.8751444008886609,9.524456697289988e-06,
68,-0.8780148718510996,8.967106501477117e-06,
69,-0.8789363276888591,9.81913644026919e-06,
70,-0.8909391533482918,9.433347769598081e-06,
71,-0.9078112782804313,4.568229573546805e-06,
72,-0.9074017870417316,4.556323770999246e-06,
73,-0.9218741089366372,4.527767247739927e-06,
74,-0.9121046359548087,4.342852327995358e-06,
