iteration,lcb,ei,rand
1,-0.5346163142348018,0.0001464408107005214,
2,-0.6031584484123582,0.00014527001973853884,
3,-0.6065534972989348,0.00012142478048597428,
4,-0.6045763209137015,0.00011648318771282688,
5,-0.6061871765416006,0.00011267478417108675,
6,-0.604318574890726,0.00011167624211264315,
7,-0.600888234320018,3.278418114895153e-05,
8,-0.5988571264196195,3.1758043610995935e-05,
9,-0.6015844937445451,3.1405752734594343e-05,
10,-0.5952855882532343,2.720165416869845e-05,
11,-0.5958426598045422,2.436891744410717e-05,
12,-0.5964871884980716,2.440645342106453e-05,
13,-0.5869229014081396,1.9871112941790828e-05,
14,-0.5900199956716801,2.0024576731419952e-05,
15,-0.5913010937286264,2.0440146586935123e-05,
16,-0.5905782158680616,1.3554417314118252e-05,
17,-0.5901023873070822,1.2290883742491067e-05,
18,-0.5891311131568627,1.0406543846652135e-05,
19,-0.5905328257479793,1.0500107713169743e-05,
20,-0.5923355852027723,1.0452757294457721e-05,
21,-0.5963481274158936,1.0405333168345163e-05,
22,-0.5945372318273061,9.297661505568044e-06,
23,-0.5943038959189764,8.507771278696646e-06,
24,-0.5916894173139009,8.537534113891722e-06,
25,-0.5982896957850706,8.633292774572029e-06,
26,-0.5957866681713408,8.093101386526025e-06,
27,-0.5984101683626508,8.202039135152466e-06,
28,-0.5951140642859782,8.127613649516106e-06,
29,-0.5929964519590247,7.899748670796434e-06,
30,-0.5961013286868542,4.544960734736553e-06,
31,-0.6014357760445714,4.13520801933935e-06,
32,-0.596389579060729,4.2465333245282945e-06,
33,-0.5965077837122807,4.052198271737434e-06,
34,-0.6047321698672491,3.961094484627722e-06,
35,-0.6060499575084473,4.092437092947923e-06,
36,-0.6105053719403076,4.052770267896847e-06,
37,-0.6029729836989892,3.944375507022504e-06,
38,-0.6022429390315468,4.023930070534797e-06,
39,-0.6069658484724156,3.7695641585580504e-06,
40,-0.6101216504899409,3.7379319734351438e-06,
41,-0.6123617660232776,3.450952345374478e-06,
42,-0.6147681877733459,3.3830415415827077e-06,
43,-0.6146760894165857,3.2116189270579587e-06,
44,-0.6139043862675859,3.089386516487506e-06,
45,-0.6165036418505453,3.174546890055353e-06,
46,-0.6186215453968993,3.0305341271893613e-06,
47,-0.6070504619722406,3.1116745461514317e-06,
48,-0.6103079974160418,3.215075534980897e-06,
49,-0.6189262155945685,3.2343933803306423e-06,
50,-0.6222899791155061,3.1682372878720232e-06,
51,-0.6163459463298822,3.305211120739259e-06,
52,-0.6216580128237513,2.350349437413028e-06,
53,-0.614452657708069,2.3873453700334477e-06,
54,-0.6221891474367579,2.2317629320465357e-06,
55,-0.6300165445191964,2.1779418713406376e-06,
56,-0.6303209769248729,2.070308694470361e-06,
57,-0.6275623572736696,2.0540758705212042e-06,
58,-0.6296510942104342,1.9308467772644716e-06,
59,-0.6249314299465216,1.973749649307598e-06,
60,-0.6331990973313275,1.973674343346694e-06,
61,-0.6451681077250135,1.9342345340929773e-06,
62,-0.6421147644391375,1.9991992474940004e-06,
63,-0.6402722677845948,2.000719994654211e-06,
64,-0.6319808595244867,1.923215444116642e-06,
65,-0.6461234370923674,1.9376859121299974e-06,
66,-0.640301139356278,1.927200981369568e-06,
67,-0.6471956820056064,1.8828755971615166e-06,
68,-0.6532432645391737,1.8827982441765663e-06,
69,-0.6615100155553898,1.867096288609383e-06,
70,-0.6706209875867996,1.8571814227471103e-06,
71,-0.6696941406853527,1.853854703366647e-06,
72,-0.6722181587562752,1.8787988593548442e-06,
73,-0.6768932805280029,1.8928764094104137e-06,
74,-0.6871294942711877,1.8600181281318357e-06,
75,-0.6789843402260215,1.8920243703483708e-06,
76,-0.6888792488848524,1.456036382681734e-06,
77,-0.6821628236160657,1.4029188972209792e-06,
78,-0.6910497885762029,1.3616549958737782e-06,
79,-0.6967635307420181,1.365643651564818e-06,
80,-0.7016820170823217,1.3872546227307992e-06,
81,-0.7034372027462991,1.418574487488811e-06,
82,-0.7116468678214254,1.3661734073983902e-06,
83,-0.7167446017958709,1.3794965095781227e-06,
84,-0.7238872054116172,1.1905880531278243e-06,
85,-0.727950877646447,1.1829219600051955e-06,
86,-0.7323030288953845,1.2472841334430802e-06,
87,-0.7239678277934855,1.2034910242077493e-06,
88,-0.7349559633355404,1.1028082972286944e-06,
89,-0.7396116997575742,1.0963123492177298e-06,
90,-0.7378867772013236,1.0921704178784768e-06,
91,-0.741929580470923,1.0897299815906324e-06,
