iteration,lcb,ei,rand
1,-0.41286008646676664,0.03762598280948338,
2,-0.2885752376073872,0.028416263121641312,
3,-0.2647742306641103,0.018504317978692057,
4,-0.25266715135868767,0.01250237361256713,
5,-0.24617259176638118,0.009338265752050153,
6,-0.23535077277140068,0.006417409418775787,
7,-0.22748324368887507,0.006275869649427518,
8,-0.22117350456312718,0.005252099888542302,
9,-0.21687476451735663,0.004786748732361944,
10,-0.2102329320398684,0.0047275452950315535,
11,-0.20686086734040912,0.004417408159218549,
12,-0.20235852265915202,0.003894169857823632,
13,-0.20304765073802156,0.0034097660172806377,
14,-0.2049624014371453,0.003182439753368108,
15,-0.20121556239383648,0.00073069054593257,
16,-0.20031297420398414,0.0006784237863075968,
17,-0.20062228623133954,0.0005171252587870998,
18,-0.19515692859273653,0.0004971560890787035,
19,-0.19623153125866788,0.0004846256627476187,
20,-0.1953734897562305,0.00037539218728100727,
21,-0.19404680839258495,0.00031875483951742897,
22,-0.19112621213855216,0.00032777805231223726,
23,-0.18942890847261087,0.0003263861362766022,
24,-0.18876225159932367,0.00033978664682108667,
25,-0.1911619014181396,0.0002841406740408773,
26,-0.1891162503713934,0.00028702381823577744,
27,-0.19036526289659844,0.00014181591068450724,
28,-0.1868208739045943,0.00014148231248176872,
29,-0.18696263296915636,9.120683497815238e-05,
30,-0.18467492174999897,8.904782152613384e-05,
31,-0.18516848730036983,8.676460699623005e-05,
32,-0.1856523170531263,8.719875254128574e-05,
33,-0.18361407941050628,8.46347255316988e-05,
34,-0.18457051681961414,7.839381297050146e-05,
35,-0.1820740225099538,7.782203619124301e-05,
36,-0.18237960496629838,7.98479159351228e-05,
37,-0.18158708665001744,6.307032081204555e-05,
38,-0.1800910355905813,5.737894207601341e-05,
39,-0.18209058666724304,5.7768985616522866e-05,
40,-0.18239054179357805,5.4976378885558605e-05,
41,-0.18396396716266478,5.562645972278836e-05,
42,-0.18373337411215437,5.087118800709318e-05,
43,-0.18383186372975005,5.193823644764905e-05,
44,-0.18360927509005723,5.078422629706314e-05,
45,-0.18146627091043732,5.124841081613656e-05,
