iteration,lcb,ei,rand
1,-1.3695914823533786,0.03381021589327917,
2,-1.0286925245327125,0.02153791241463212,
3,-0.8917760771031007,0.011691607873804133,
4,-0.8823164852620394,0.01061162226256943,
5,-0.8205094148151584,0.005547910280309812,
6,-0.8050119341558157,0.004712158495740894,
7,-0.7767212544376565,0.0035362633364115744,
8,-0.772348928658028,0.0025761016088907845,
9,-0.764850380596204,0.0028272390190677062,
10,-0.756532878534656,0.0027798007161250527,
11,-0.7402201633655793,0.0024968925174625543,
12,-0.7340634031657975,0.00243250247563716,
13,-0.7172143671422533,0.0012893493668619399,
14,-0.7107744627481467,0.0012935013989374916,
15,-0.716975592647084,0.0011518799497659835,
16,-0.701504068144974,0.001164231732308666,
17,-0.7027920366625325,0.001207796493123606,
18,-0.6949825161291475,0.0012871741315364632,
19,-0.6945880398492602,0.0013356299287779305,
20,-0.6807112410552227,0.0012072532378067144,
21,-0.678597066123756,0.0010447138552070246,
22,-0.6801874485068018,0.0011488278199590582,
23,-0.6730904715844361,0.001054118023676107,
24,-0.669075014232256,0.0011205457083902364,
25,-0.6650079232611198,0.00029410561186817165,
26,-0.6565757224442119,0.0002231291021638934,
27,-0.6557275450646355,0.00023034983372769558,
28,-0.6499740211412753,0.0002436224553199322,
29,-0.6489391441090296,0.00024816937847721833,
30,-0.6525578386844972,0.00011047834185310955,
31,-0.648539403274947,0.00011164116404665318,
32,-0.6408700035535085,0.00011122524319269917,
33,-0.6521115402806755,0.0001136525395367588,
34,-0.6453935773220042,9.746467816764403e-05,
35,-0.6464543950373636,9.67296989978373e-05,
36,-0.6335577447669088,8.270456151385263e-05,
37,-0.638557742579046,8.02768802797129e-05,
38,-0.6410180458354752,8.301786752685502e-05,
39,-0.6423571485268923,8.105623211779972e-05,
40,-0.6291746420464355,7.858266001036316e-05,
41,-0.6275356539839797,7.154896490162017e-05,
42,-0.6317181451639325,5.85994224529128e-05,
43,-0.6334099736671506,6.127309108369348e-05,
44,-0.6439343862240352,6.168220902393329e-05,
45,-0.6471229823142912,6.420574273141779e-05,
46,-0.6383250772668455,6.520040013258993e-05,
47,-0.6388208495634854,6.652512393489423e-05,
48,-0.6392356141197945,6.523892956928009e-05,
49,-0.6394641549848397,6.242734145269982e-05,
50,-0.6351760732440048,6.280500115631757e-05,
51,-0.6475889850292923,4.810723438567257e-05,
52,-0.6449866009697311,4.196153847228122e-05,
53,-0.6440883229353221,4.252974413286279e-05,
54,-0.6404597312011494,4.310600132911852e-05,
55,-0.6551822291559398,4.322004578740602e-05,
56,-0.6536743979267071,4.0525407616113066e-05,
57,-0.6528528380135481,2.975292478434507e-05,
58,-0.655630411507018,2.9647359745554905e-05,
59,-0.6543808023776603,2.31151032734371e-05,
60,-0.651371818336019,2.2152257869140318e-05,
61,-0.657531110324598,2.279493055145416e-05,
62,-0.6483145427360725,2.3018027547514355e-05,
63,-0.6486055556979202,2.3478714935362218e-05,
64,-0.6515887796565752,2.1982765347875398e-05,
65,-0.654008196865768,2.284173127932069e-05,
66,-0.6569049292408653,1.7360918722658998e-05,
67,-0.6732505694769059,1.7037617642024076e-05,
68,-0.6646956101503821,1.699356773708199e-05,
69,-0.6722935508763789,1.73069205323272e-05,
70,-0.6569827139610147,1.735235195074687e-05,
71,-0.6645372140724034,1.3883507380490862e-05,
72,-0.6550216766713186,1.0512362831097919e-05,
73,-0.6521160772491066,8.844140294340102e-06,
74,-0.6702689106867923,9.1300394118003e-06,
75,-0.6788229033319017,9.084072303062044e-06,
76,-0.6699479928825279,9.39748513044215e-06,
77,-0.6795544788886941,9.612884640910405e-06,
78,-0.6668840096332801,9.57984849156698e-06,
79,-0.6920269102024651,6.77247442583509e-06,
80,-0.698835111891824,6.43947285207665e-06,
81,-0.6975417514826294,6.536910039551013e-06,
