iteration,lcb,ei,rand
1,-0.3926564283683725,0.0001940073454157171,
2,-0.39884402846656264,0.00019218686673287807,
3,-0.4061822422581756,0.0001713872792903436,
4,-0.40537146230380755,0.00017175439073488085,
5,-0.410586225576913,0.00010487293255354276,
6,-0.40447948166083836,6.465077757197976e-05,
7,-0.4101036508935211,5.9474101024982495e-05,
8,-0.4138855155833305,5.395070612640856e-05,
9,-0.411222782615164,4.885891903049787e-05,
10,-0.4235507181237718,4.2496791970253485e-05,
11,-0.4146554203636525,3.6525899890586405e-05,
12,-0.4219019877121454,2.712220573278642e-05,
13,-0.4164357422440132,1.9651426665288846e-05,
14,-0.41369604763717577,1.9840970623383635e-05,
15,-0.42275528197619144,1.5983087808470177e-05,
16,-0.4278919250063071,1.2273571342017955e-05,
17,-0.4293342222634816,1.062716790216908e-05,
18,-0.43871759195587173,9.54890057100873e-06,
19,-0.44116835173766733,9.365313401364353e-06,
20,-0.4416611848945928,9.592621152386529e-06,
21,-0.4431400674855677,9.103638774690155e-06,
22,-0.44647517570088796,9.08798719004911e-06,
23,-0.441807565900787,7.0715424696511775e-06,
24,-0.45639074780747935,4.675410942015992e-06,
25,-0.45050715418616777,4.348680070952525e-06,
26,-0.466776824589134,4.22264482792469e-06,
27,-0.4706348336370306,3.9913127269893404e-06,
28,-0.4662292893423045,3.4629303872995987e-06,
29,-0.48041028201192304,3.4654551467296992e-06,
30,-0.4678202337667357,3.5760625774300162e-06,
31,-0.4844683258813875,2.925766616939728e-06,
32,-0.4946323789059904,2.9636769641441607e-06,
33,-0.503462565614108,2.6839433236664857e-06,
34,-0.5005117367938481,2.755317890670178e-06,
35,-0.4897936548563143,2.6145039865653843e-06,
36,-0.5016420913098084,2.499919192323621e-06,
37,-0.5099780008251177,2.491272737966034e-06,
38,-0.5168831398358288,2.266636071557024e-06,
39,-0.5189485607696724,2.1801576263748423e-06,
40,-0.5332393124919467,2.1681238515058462e-06,
41,-0.5354981624575876,2.1890414698234665e-06,
42,-0.5264734387656913,2.0444929541353048e-06,
43,-0.5334917354254639,2.056347784963487e-06,
44,-0.5385231568191289,1.9469730751670404e-06,
45,-0.5466201334869374,1.9176254201853604e-06,
46,-0.5632885386680447,1.8920917024440378e-06,
47,-0.5702485940260285,1.991262180527546e-06,
48,-0.5697373236213533,1.9490028795295157e-06,
49,-0.563074226498873,1.864139928886592e-06,
50,-0.5525756678165324,1.8833982917287133e-06,
51,-0.5634275141813407,1.9387893485352938e-06,
52,-0.5758826262626144,1.9047248511812521e-06,
53,-0.5894223354655967,1.8901337619630084e-06,
54,-0.5678815779343132,1.7985370389840883e-06,
55,-0.5807199699598471,1.8338620105183447e-06,
56,-0.5839750817103373,1.625511492642703e-06,
57,-0.5935557737901385,1.5289601203210497e-06,
58,-0.6153262924486994,1.3228041848583626e-06,
59,-0.6010941087397782,1.3311543609495143e-06,
60,-0.6099781282621973,1.3058413433608051e-06,
61,-0.6203519956577398,1.2822218730235168e-06,
62,-0.6163105516864364,1.3501252670610597e-06,
63,-0.5932021687214108,1.3601172948760218e-06,
64,-0.6121941215621326,1.263358261346591e-06,
65,-0.6223301261816985,1.2038661305829336e-06,
66,-0.618239984244955,1.2309535690234738e-06,
67,-0.6256191286783581,1.2489645807928318e-06,
68,-0.6320582424133538,1.3505044391127337e-06,
