iteration,lcb,ei,rand
1,-0.5782767616878133,2.939020311446695e-06,
2,-0.35996310556419153,5.66495055623461e-06,
3,-0.2971190506655439,8.56102728575766e-06,
4,-0.4022477268300822,8.30582637982216e-06,
5,-0.4764697387940993,8.861794823181595e-06,
6,-0.3555835998657642,8.803305121498046e-06,
7,-0.30213574462343834,1.126580649726253e-05,
8,-0.5324668829027723,7.322043421090541e-06,
9,-0.5183602446770036,6.2979203985763474e-06,
10,-0.8193571488223517,3.995225186203545e-06,
11,-0.7208558533767959,6.329132703062601e-06,
12,-0.8703093053757427,5.450456913178547e-06,
13,-0.7880816975945638,6.278021385393657e-06,
14,-0.9822117367514733,4.769484949790725e-06,
15,-1.0601331709973882,5.037665432069262e-06,
16,-1.2411401986192319,7.333986966432709e-06,
17,-0.4540010757255753,8.4065121385115e-06,
18,-0.5567327158870791,5.9377490506093095e-06,
19,-1.023640396676348,4.788289466279226e-06,
20,-1.3010702899865676,5.495847973171793e-06,
21,-0.8989179241730156,4.123327917936145e-06,
22,-1.3436987532558435,4.716699417234246e-06,
23,-1.3956623903497078,5.171572875214677e-06,
24,-1.5062545054402476,5.311367580668816e-06,
25,-1.639230784073871,4.877423628911231e-06,
26,-1.6449736986594072,2.9322772093595674e-05,
27,-1.7911726077604286,1.8646792860346327e-05,
28,-1.9139402014082474,2.1275053522731286e-05,
29,-1.4401570946635367,1.6254486925032833e-05,
30,-0.9240926631867535,2.5949059066537816e-05,
31,-1.3714632341666493,1.722403174806624e-05,
32,-1.8898819746959754,3.292709670779366e-05,
33,-0.6046861150431617,2.6915155026919804e-05,
34,-1.112255994396311,2.822765583057602e-05,
35,-1.1692479758487915,3.4579405288094774e-05,
36,-1.0614366941810986,2.9745203300101374e-05,
37,-1.155364441362393,2.131185792254552e-05,
38,-0.4292759690392359,2.256699876987396e-05,
39,-0.37954880795021856,2.0237645746322028e-05,
40,-0.33736842728495486,1.6857633115473626e-05,
41,-0.4516899621571959,2.547015524426066e-05,
42,-0.7152940391518415,3.3383039356055756e-05,
43,-0.8531698284815141,2.3990061084013704e-05,
44,-0.8361185557417168,2.3382083347113503e-05,
45,-0.7555134221875504,3.0417248442201474e-05,
46,-0.8271576329711426,2.7456793006944646e-05,
47,-0.7998288032615408,2.605092538274689e-05,
48,-0.8936622680954748,2.7086892132821706e-05,
49,-0.6681485072644421,3.0258057603760768e-05,
50,-0.690276065736351,3.229520922299466e-05,
51,-0.6894072511976336,4.5772837881050866e-05,
52,-0.664272473559611,2.3277170128775445e-05,
53,-0.8030420547904789,3.1143774012507235e-05,
54,-1.076314957566751,2.676751590755008e-05,
55,-1.3018824201553032,2.744751223748166e-05,
56,-1.3721007934511815,4.182017878922328e-05,
57,-1.4896722119534334,2.9469121219866574e-05,
58,-1.3549636291369722,2.675373380353848e-05,
59,-0.6176914301964134,2.4350503615888652e-05,
60,-0.5804442366856006,2.8946471700159923e-05,
61,-0.6135178662792803,2.341554803512748e-05,
62,-0.7750136655641829,2.6342368005716015e-05,
63,-0.5950167985343908,2.1197554388539196e-05,
64,-0.9132680458605905,2.016558424595069e-05,
65,-1.2614144848070208,1.0526433475128229e-05,
66,-1.4028541674571042,1.0257288342124237e-05,
67,-1.5100107410801715,3.2904046968394604e-06,
68,-1.5375852876303122,3.975988362315016e-06,
69,-0.9005082591457906,3.6879436449228197e-06,
70,-0.8942188786914174,2.3225589912927507e-06,
71,-1.473952681174296,1.8484711902169275e-06,
72,-0.6585040590352557,1.5250386066531675e-06,
73,-0.5169421473759727,1.5933649701710723e-06,
74,-1.3328068596318374,1.940274619722343e-06,
75,-0.7346444278655136,1.4383681285820098e-06,
76,-0.46743703584479046,1.2231434630128628e-06,
77,-0.7187146719587706,8.881443271822224e-07,
78,-0.5388087306402393,8.317682316286324e-07,
79,-0.5840790463204928,7.18628353764602e-07,
80,-0.5578789382331579,5.857010264237782e-07,
81,-0.46849002973787607,3.0119093245358354e-06,
82,-0.3920968356645826,8.807801147956985e-07,
83,-1.2183771241042725,5.901689911760748e-07,
84,-0.5137699635532257,5.209005176718544e-07,
85,-0.575078631645992,1.144078500778869e-06,
86,-0.4523285681323938,6.593520082023916e-07,
87,-0.6637851826119286,5.630890929221105e-07,
88,-0.5232746660425392,5.236266617152415e-07,
89,-0.727305523471526,6.212247534704138e-07,
90,-0.48006976269223917,1.2329607063962734e-06,
91,-0.5814804745537592,9.754937411748374e-07,
92,-0.811036261417623,1.938617136507977e-06,
93,-0.9575137389145707,1.6980624343963352e-06,
94,-0.6864906362766652,4.125663837369441e-06,
95,-0.776413206962594,3.860351953112986e-06,
96,-0.7947678026216454,4.9522728061647155e-06,
97,-0.8154353850438245,2.461067132112488e-06,
98,-0.9769927339596347,9.750909832336367e-07,
99,-0.6677820735010174,8.688860920167186e-07,
100,-0.9270298468340156,7.541216909483418e-07,
101,-0.6855477352190152,7.191444972445541e-07,
102,-0.7279558894976635,2.6344462239820286e-06,
103,-0.5357862931915494,3.284201891839802e-06,
104,-1.0375408724050723,2.5827772484858735e-06,
105,-1.0034131559475512,2.019135608034242e-06,
106,-0.9316389766496547,3.826710435083123e-06,
107,-0.7073282112568521,2.1266379930696864e-06,
108,-0.9095749579631798,2.399106975436661e-06,
109,-1.0250266588455172,2.4040088753772747e-06,
110,-1.091688242048732,2.1505144550713503e-06,
111,-1.0768984137105475,2.4007420454901895e-06,
112,-0.9830814323536652,3.0588313127600722e-06,
113,-0.5411073479525055,3.433954146636742e-06,
114,-0.6554706749001441,2.461719257072588e-06,
115,-1.274462902133822,1.8871457344609168e-06,
116,-1.3544146090149733,1.6544593028747245e-06,
117,-0.684999789777383,3.16490437544814e-06,
118,-0.8448620336388101,3.7047758451331583e-06,
119,-0.9025182256122186,4.142372538079382e-06,
120,-0.9558585552255613,1.98453533556306e-06,
121,-0.40663324494913616,1.1482429644413313e-06,
122,-0.5222562211470305,1.7959199286874203e-06,
123,-0.41762826497767197,1.8006736484349579e-06,
124,-0.5102818050292877,1.6047366445519167e-06,
125,-0.524453372496325,1.1264370458128663e-06,
126,-0.6046154248844857,7.519980965310122e-07,
127,-0.3718515486509632,5.845083888546624e-07,
128,-0.4822277326336612,4.573274927343813e-07,
129,-0.40021797018652316,4.28969565904372e-07,
130,-0.48377742595653045,4.165696322071706e-07,
131,-0.34678423210171017,3.7270754539867066e-07,
132,-0.47455386444534453,3.7099765585080223e-07,
133,-0.4414257854532144,4.0597747114973517e-07,
134,-0.48489628588377626,3.529283145765356e-07,
135,-0.6282455491526534,3.471070353547701e-07,
136,-0.6618715730883703,1.2061046662566526e-06,
137,-0.6819058672936869,1.181520821980344e-06,
138,-0.7628565141633242,1.5805883141858063e-06,
139,-0.4491718220775501,1.6080858806231373e-06,
140,-0.4694422487242787,1.3091083521668273e-06,
141,-0.5185299469911838,1.3836842132352467e-06,
142,-0.5219177259016486,3.552195977323446e-07,
143,-0.5316597398919221,3.5072415515220927e-07,
144,-0.5805035831134165,3.4326314140274773e-07,
145,-0.4306412922874392,3.338512761611311e-07,
146,-0.4392761262559032,3.861044537670082e-07,
147,-0.3211719174084281,2.9844336521368915e-07,
148,-0.46012695712732116,3.8274133031944964e-07,
