iteration,lcb,ei,rand
1,-0.8829742476208593,0.04692034025048198,
2,-0.6473673515593663,0.03772586124540548,
3,-0.7307913957963459,0.02726424853563176,
4,-0.7016395453347376,0.02439838113648191,
5,-0.7637288356759392,0.028224038062645822,
6,-0.6291690326349471,0.022431237335668385,
7,-0.6454538717721818,0.015087716190293922,
8,-0.6670211803309647,0.011787476634729302,
9,-0.6371627777956467,0.010032100539185297,
10,-0.6343155411521681,0.005348794528275696,
11,-0.6663431456586423,0.0043826204384131385,
12,-0.6639299761743027,0.0039849371395296995,
13,-0.6522743570976094,0.0032915137117816846,
14,-0.6948593136012956,0.002479294790814749,
15,-0.6671966313199134,0.0019651295076039874,
16,-0.6510468032778819,0.0014258687798890152,
17,-0.6775371055723772,0.0013714521405493345,
18,-0.6550337342984477,0.0012024234147188662,
19,-0.6146043901548923,0.0011912812282732735,
20,-0.6122225688790073,0.0008745690142648793,
21,-0.6188060234287193,0.0010810766751060575,
22,-0.5952111377596018,0.0007602042968229084,
23,-0.6398793822451591,0.0005717545595748215,
24,-0.6639506322391567,0.0004786345783452508,
25,-0.6332913109442773,0.0005630241429692356,
26,-0.6698670155301178,0.0004191126732940839,
27,-0.6461505622389516,0.00032547877020005556,
28,-0.6324531204069843,0.00021312986719577477,
29,-0.6387972255648882,0.00021801082068147504,
30,-0.6860575987763088,0.00021562910104702758,
31,-0.706727737581089,0.00015636740239626263,
32,-0.6748885047745812,0.00021862525513512824,
33,-0.6608509064360376,0.00020598885567553015,
34,-0.6975510812515543,0.00014666563901913817,
35,-0.6335603329020841,0.0001088823579946868,
36,-0.6908737435126645,3.695267680009167e-05,
37,-0.6053362785020159,2.879493870210953e-05,
38,-0.664637629066636,2.9803623271355048e-05,
39,-0.6605482738172054,2.9570745296525934e-05,
40,-0.6618465896960626,2.838631279443334e-05,
41,-0.6354937886100558,2.4726687319229106e-05,
42,-0.6307506011090102,2.307199538271404e-05,
43,-0.6676443662138297,2.1614204574174847e-05,
44,-0.7071165198729183,1.8836958302416608e-05,
45,-0.7732802227410231,2.4018098439794723e-05,
46,-0.7213036212516141,2.43114643895341e-05,
47,-0.7143429253579733,2.1777722271454226e-05,
48,-0.747066237204408,1.5342370193369255e-05,
49,-0.7192783374025076,1.491927140353606e-05,
50,-0.6622590248683131,1.5860831249419846e-05,
51,-0.6619819055673092,1.6411338329052155e-05,
52,-0.6978922038568772,1.6723187068329684e-05,
53,-0.708474590334015,1.6759516952161586e-05,
54,-0.8159789462315763,1.6189693603928534e-05,
55,-0.7972404370247395,1.4880782344968553e-05,
56,-0.8089088570195598,1.576909241233401e-05,
57,-0.7748853200696756,1.618779715676943e-05,
58,-0.813258979549651,1.4832791636614085e-05,
59,-0.7845050231105255,1.4294391457759192e-05,
60,-0.7254876368311338,1.376725476020817e-05,
61,-0.7393403997666497,1.2951456740376951e-05,
62,-0.729733000250148,9.142901659088489e-06,
63,-0.7400274212107826,8.356061970753821e-06,
64,-0.7668502646485965,6.983508449162642e-06,
65,-0.8276188176571563,8.055029620645358e-06,
66,-0.7951552154565944,7.966438555094251e-06,
67,-0.8685188426474691,9.357970659814936e-06,
68,-0.7950821887131901,8.022638674525647e-06,
69,-0.8296050385276333,7.054620776073305e-06,
70,-0.827501477125506,7.638664670368788e-06,
71,-0.831915102645526,7.157873241143988e-06,
72,-0.7919278934644968,7.3412501522620355e-06,
73,-0.832020544187722,6.776620911249423e-06,
74,-0.7828193338587128,6.3981367916938106e-06,
75,-0.8179862639741577,7.060463212306676e-06,
76,-0.8415397683546075,6.4033321137714345e-06,
77,-0.7501020696076653,6.740963670462751e-06,
78,-0.801459906933435,5.9436190472671545e-06,
79,-0.7818742886750485,6.431852462916658e-06,
80,-0.7927973249977535,7.387798470111202e-06,
81,-0.7943224579386852,7.582013306918169e-06,
82,-0.8297046242925075,6.401949160464003e-06,
83,-0.8455688480490153,6.089536091265372e-06,
84,-0.8808407998273118,5.060081076108073e-06,
85,-0.8652174885690875,5.872905958754169e-06,
86,-0.7949192518009357,5.29924546455851e-06,
87,-0.8401178770225257,6.0216614322988274e-06,
88,-0.7595612115574591,5.915357338962506e-06,
89,-0.8318801439984511,6.284046021735586e-06,
90,-0.8300063037345575,5.334144920745424e-06,
91,-0.746790550124137,4.920423601604556e-06,
92,-0.8093485445341959,5.432501268404578e-06,
93,-0.8275480719730004,4.960070816146609e-06,
94,-0.819188262976449,5.050556836491421e-06,
95,-0.8378355290039174,5.061541452075219e-06,
96,-0.9579049741981689,4.737078615636739e-06,
97,-0.8619988240078311,4.913250913120699e-06,
98,-0.8588700781036753,5.153386483833063e-06,
99,-0.9003464243193524,5.762818491541408e-06,
100,-0.8333412678618519,4.701025965102601e-06,
101,-0.9008898066668307,4.533855948918072e-06,
102,-0.934088786190197,4.060042053490229e-06,
103,-0.9778856568812253,3.972472513969784e-06,
104,-0.9910231366780334,3.58340508238567e-06,
105,-0.9854692369909879,3.6882774544870982e-06,
106,-0.8812537779315954,3.3650425621951657e-06,
107,-0.8909603912051491,2.6643639951753606e-06,
108,-0.9175621512835103,2.812942329303741e-06,
109,-0.9584938914981784,2.8478416533133982e-06,
110,-0.9297301845328068,2.6227985433816807e-06,
111,-0.9789578145657685,3.083822024010443e-06,
112,-0.9265776507536987,3.361531556976103e-06,
113,-0.8668812283858683,3.106514713654713e-06,
114,-0.8707076482572588,2.616205213473676e-06,
115,-0.9070722250218757,3.2995357805493175e-06,
116,-0.8745982697522203,3.1051701710093502e-06,
117,-0.9436794825605503,2.451646551195027e-06,
118,-0.9231465406104591,2.1636796137613735e-06,
119,-0.9071486689142119,1.8651895977851741e-06,
120,-0.8478172829047819,2.2033645834622486e-06,
121,-0.9661158861079029,2.4117782069148268e-06,
122,-0.9195231107776597,3.29595429404445e-06,
123,-0.8480033352381782,2.5353922396940357e-06,
124,-0.973058294782722,2.4965449954681865e-06,
125,-0.8779267287768592,2.5641100119363413e-06,
126,-0.9840562472792292,2.438877560382475e-06,
127,-0.9498266181632826,2.562476010442716e-06,
128,-1.022659743680873,2.2308458471358923e-06,
129,-1.0372761980691183,2.2775424108491168e-06,
130,-1.154001694374917,2.159469084780804e-06,
131,-1.0216022323963092,1.9361828571543715e-06,
132,-1.0297127292161117,1.7350634855799771e-06,
133,-0.975946366597652,2.058935770310418e-06,
134,-1.0679566856185891,2.106927070592143e-06,
135,-1.042998559532896,1.9745940694769093e-06,
136,-1.0598333219212634,1.5115816831815422e-06,
137,-1.0561034794461661,1.5111717120343033e-06,
138,-1.1291799908611622,1.8212531877698665e-06,
139,-1.0736957696704963,1.8345919439725597e-06,
140,-1.0090939998436634,1.5709265227268093e-06,
141,-1.0660112703025342,1.455360721916088e-06,
142,-1.1186923401343776,1.4188698380956605e-06,
143,-1.029371061247856,1.3040912550362438e-06,
144,-1.0437191742211507,1.70125016580001e-06,
145,-1.022888614990287,1.4772544590884087e-06,
146,-1.0829007106994792,1.401286040710405e-06,
147,-1.0305301971415137,1.5280993670788767e-06,
148,-1.0899750858567774,1.621477228338954e-06,
149,-1.1075165339439774,1.4406608177982452e-06,
150,-1.1172354956986117,1.3522554029215729e-06,
151,-0.9577760448783085,1.5501476930679554e-06,
152,-1.0077136055128613,1.1471414915158916e-06,
153,-0.9962998381093869,1.4484879072368783e-06,
154,-1.0772964312470155,1.1788179308276156e-06,
155,-1.0616766513105764,1.470359498792944e-06,
156,-1.1229504587520307,1.4566300561643904e-06,
157,-1.115711186737245,1.4172965489832201e-06,
158,-0.9242108740346012,1.263563544090037e-06,
159,-1.0463112721140455,1.196746698281666e-06,
160,-1.0255223136755662,1.1530784851757278e-06,
161,-1.0850311000895212,1.3352576028057366e-06,
162,-1.035202093119595,1.3453818231708106e-06,
163,-1.0477871686037026,1.0541409801954382e-06,
164,-0.9159127171468101,1.2096258839466504e-06,
165,-0.9829259125284753,1.1970764545697657e-06,
166,-1.0564608388363919,9.528001335486314e-07,
167,-1.1054099885658248,1.0997682589146197e-06,
168,-0.9404889723198191,1.1195261204065537e-06,
169,-1.11159448258782,9.216857729421622e-07,
170,-1.0563105820058807,8.073154775546867e-07,
171,-1.070707978453334,8.225208114246666e-07,
