iteration,lcb,ei,rand
1,0.29,0.29,0.28
2,0.36,0.36,0.32
3,0.42,0.41,0.35
4,0.45,0.44,0.41
5,0.55,0.54,0.53
6,0.62,0.62,0.59
7,0.7,0.69,0.63
8,0.78,0.76,0.68
9,0.88,0.85,0.72
10,0.97,0.94,0.73
11,1.08,1.06,0.78
12,1.16,1.13,0.84
13,1.25,1.27,0.89
14,1.36,1.41,0.96
15,1.48,1.56,0.99
16,1.59,1.63,1.06
17,1.69,1.73,1.09
18,1.86,1.87,1.11
19,1.98,1.99,1.16
20,2.1,2.11,1.21
21,2.28,2.3,1.25
22,2.45,2.46,1.27
23,2.57,2.58,1.29
24,2.67,2.71,1.36
25,2.83,2.85,1.38
26,3.0,2.99,1.42
27,3.06,3.06,1.48
28,3.16,3.19,1.5
29,3.27,3.33,1.55
30,3.39,3.44,1.63
31,3.45,3.53,1.66
32,3.53,3.61,1.68
33,3.65,3.74,1.73
34,3.73,3.84,1.81
35,3.8,3.92,1.88
36,3.87,3.99,1.93
37,3.95,4.08,1.98
38,4.04,4.16,2.02
39,4.1,4.21,2.1
40,4.16,4.3,2.13
41,4.22,4.36,2.22
42,4.3,4.44,2.34
43,4.39,4.53,2.39
44,4.47,4.59,2.44
45,4.6,4.68,2.49
46,4.71,4.82,2.55
47,4.82,4.93,2.6
48,4.94,5.05,2.64
49,5.07,5.19,2.73
50,5.17,5.27,2.76
51,5.28,5.36,2.81
52,5.42,5.49,2.85
53,5.56,5.61,2.93
54,5.63,5.69,2.97
55,5.71,5.82,3.06
56,5.83,5.89,3.1
57,6.0,6.0,3.14
58,6.06,6.08,3.19
59,6.19,6.21,3.2
60,6.32,6.32,3.3
61,6.41,6.42,3.34
62,6.57,6.58,3.36
63,6.69,6.68,3.4
64,6.73,6.74,3.45
65,6.94,6.85,3.5
66,7.05,7.0,3.53
67,7.19,7.12,3.58
68,7.26,7.2,3.67
69,7.34,7.3,3.72
70,7.43,7.4,3.76
71,7.5,7.47,3.8
72,7.6,7.61,3.88
73,7.71,7.75,3.96
74,7.79,7.84,3.99
75,7.87,7.95,4.04
76,7.96,8.04,4.06
77,8.03,8.15,4.12
78,8.08,8.18,4.15
79,8.18,8.27,4.19
80,8.26,8.35,4.28
81,8.33,8.42,4.33
82,8.39,8.51,4.36
83,8.45,8.55,4.44
84,8.52,8.64,4.49
85,8.61,8.7,4.51
86,8.63,8.76,4.53
87,8.67,8.81,4.63
88,8.69,8.85,4.67
89,8.75,8.89,4.75
90,8.83,8.91,4.79
91,8.9,8.95,4.87
92,9.02,9.05,4.92
93,9.08,9.09,4.96
94,9.16,9.18,5.07
95,9.21,9.27,5.1
96,9.3,9.35,5.18
97,9.32,9.38,5.23
98,9.37,9.41,5.34
99,9.43,9.46,5.38
100,9.47,9.53,5.39
101,9.51,9.6,5.43
102,9.54,9.64,5.51
103,9.58,9.69,5.53
104,9.65,9.74,5.59
105,9.7,9.8,5.65
106,9.79,9.87,5.75
107,9.83,9.91,5.8
108,9.85,9.94,5.85
109,9.88,9.97,5.92
110,9.9,9.98,6.0
111,9.94,9.99,6.03
112,10.01,10.05,6.09
113,10.05,10.08,6.12
114,10.09,10.13,6.16
115,10.15,10.18,6.22
116,10.19,10.2,6.29
117,10.21,10.23,6.41
118,10.24,10.27,6.45
119,10.27,10.31,6.52
120,10.32,10.37,6.57
121,10.37,10.4,6.62
122,10.4,10.43,6.67
123,10.41,10.48,6.7
124,10.44,10.49,6.73
125,10.47,10.53,6.78
126,10.49,10.57,6.83
127,10.53,10.6,6.88
128,10.57,10.63,6.96
129,10.62,10.66,6.99
130,10.64,10.71,7.03
131,10.66,10.75,7.08
132,10.7,10.77,7.12
133,10.74,10.82,7.17
134,10.75,10.87,7.25
135,10.79,10.89,7.34
136,10.85,10.9,7.38
137,10.86,10.94,7.4
138,10.88,11.0,7.45
139,10.9,11.01,7.48
140,10.93,11.08,7.55
141,10.96,11.09,7.61
142,10.97,11.12,7.67
143,11.01,11.14,7.7
144,11.03,11.18,7.76
145,11.07,11.22,7.78
146,11.11,11.24,7.81
147,11.16,11.27,7.88
148,11.17,11.29,7.93
149,11.18,11.31,7.98
150,11.21,11.32,7.99
151,11.24,11.36,8.02
152,11.24,11.41,8.12
153,11.26,11.44,8.15
154,11.29,11.45,8.17
155,11.31,11.46,8.22
156,11.33,11.47,8.27
157,11.35,11.51,8.32
158,11.37,11.53,8.38
159,11.39,11.55,8.44
160,11.4,11.59,8.51
161,11.42,11.6,8.57
162,11.44,11.63,8.62
163,11.45,11.65,8.66
164,11.46,11.65,8.72
165,11.46,11.66,8.77
166,11.48,11.71,8.84
167,11.52,11.75,8.88
168,11.53,11.78,8.91
169,11.53,11.81,8.94
170,11.53,11.83,8.98
171,11.57,11.86,9.03
172,11.58,11.87,9.09
173,11.59,11.9,9.11
174,11.61,11.91,9.17
175,11.62,11.94,9.24
176,11.65,11.95,9.3
177,11.65,11.99,9.36
178,11.68,12.01,9.42
179,11.71,12.03,9.48
180,11.75,12.04,9.5
181,11.77,12.04,9.56
182,11.79,12.06,9.64
183,11.85,12.1,9.69
184,11.9,12.11,9.71
185,11.93,12.13,9.78
186,11.94,12.14,9.81
187,11.97,12.16,9.82
188,11.99,12.19,9.89
189,12.0,12.19,9.94
190,12.03,12.22,10.0
191,12.06,12.23,10.07
192,12.07,12.24,10.13
193,12.1,12.25,10.15
194,12.15,12.26,10.2
195,12.2,12.29,10.25
196,12.25,12.32,10.35
197,12.26,12.36,10.37
198,12.28,12.39,10.41
199,12.35,12.4,10.43
200,12.39,12.47,10.51
