iteration,cum_regret_dwave1,cum_regret_dstrength1
1,4.458304099999964,0.0004000000000000002
2,5.095644900000025,0.0013
3,6.942301000000043,0.0015000000000000005
4,12.914259500000071,0.0018000000000000004
5,15.746111000000042,0.0034000000000000002
6,16.493842400000062,0.0051
7,16.515880400000015,0.007
8,17.289849000000004,0.015199999999999998
9,32.27441309999995,0.018199999999999997
10,44.80532789999995,0.018699999999999998
11,64.59162779999991,0.0208
12,87.88981169999988,0.0226
13,98.73643879999986,0.0242
14,101.10960679999982,0.0269
15,109.95352039999989,0.0281
16,141.62561169999992,0.031
17,156.6666689,0.032
18,168.86464179999996,0.0334
19,202.09553879999993,0.0371
20,218.25695869999987,0.0391
21,260.23931699999986,0.0412
22,261.58332549999983,0.0412
23,275.8591881999998,0.0432
24,279.93343759999976,0.0454
25,296.49174729999976,0.048
26,301.4900287999997,0.0507
27,336.0543555999997,0.0534
28,531.4871654999997,0.058
29,549.0131969999998,0.0601
30,566.3938520999998,0.0625
31,589.0817987999998,0.0644
32,595.9144578999998,0.0675
33,611.3275919999998,0.0704
34,633.1525817999998,0.0714
35,676.7527420999998,0.0731
36,683.3525072999997,0.0752
37,714.7696857999997,0.0777
38,728.9714550999997,0.0809
39,807.8299950999998,0.0851
40,815.0823725999998,0.0963
41,846.7034628999997,0.0978
42,850.0867777999997,0.0998
43,869.4306706999997,0.1018
44,881.1062730999997,0.1042
45,944.9151056999997,0.1053
46,1001.1015888999997,0.1056
47,1014.4905182999997,0.1075
48,1016.1085804999998,0.11019999999999999
49,1019.1562697999998,0.1143
50,1037.0199224999997,0.1161
