iteration,lcb,ei,rand
1,0.35,0.35,0.28
2,0.4,0.41,0.32
3,0.52,0.54,0.35
4,0.6,0.64,0.41
5,0.72,0.77,0.53
6,0.83,0.87,0.59
7,0.92,0.95,0.63
8,0.96,1.01,0.68
9,1.04,1.09,0.72
10,1.1,1.16,0.73
11,1.21,1.28,0.78
12,1.32,1.43,0.84
13,1.43,1.52,0.89
14,1.56,1.64,0.96
15,1.73,1.77,0.99
16,1.87,1.89,1.06
17,1.97,1.99,1.09
18,2.1,2.07,1.11
19,2.22,2.22,1.16
20,2.31,2.29,1.21
21,2.41,2.35,1.25
22,2.49,2.5,1.27
23,2.58,2.56,1.29
24,2.63,2.68,1.36
25,2.74,2.77,1.38
26,2.8,2.89,1.42
27,2.9,2.99,1.48
28,3.01,3.07,1.5
29,3.1,3.19,1.55
30,3.23,3.31,1.63
31,3.38,3.4,1.66
32,3.49,3.51,1.68
33,3.56,3.62,1.73
34,3.65,3.72,1.81
35,3.75,3.84,1.88
36,3.85,3.98,1.93
37,3.93,4.14,1.98
38,4.02,4.24,2.02
39,4.08,4.34,2.1
40,4.21,4.46,2.13
41,4.33,4.53,2.22
42,4.4,4.65,2.34
43,4.54,4.76,2.39
44,4.63,4.81,2.44
45,4.74,4.87,2.49
46,4.8,4.9,2.55
47,4.89,4.92,2.6
48,5.0,5.01,2.64
49,5.09,5.08,2.73
50,5.18,5.13,2.76
51,5.27,5.2,2.81
52,5.35,5.25,2.85
53,5.4,5.34,2.93
54,5.46,5.48,2.97
55,5.53,5.56,3.06
56,5.62,5.65,3.1
57,5.72,5.73,3.14
58,5.76,5.77,3.19
59,5.81,5.85,3.2
60,5.9,5.93,3.3
61,5.96,6.0,3.34
62,6.05,6.08,3.36
63,6.11,6.15,3.4
64,6.19,6.18,3.45
65,6.31,6.23,3.5
66,6.37,6.29,3.53
67,6.44,6.35,3.58
68,6.5,6.39,3.67
69,6.53,6.44,3.72
70,6.56,6.48,3.76
71,6.63,6.55,3.8
72,6.68,6.61,3.88
73,6.81,6.68,3.96
74,6.85,6.74,3.99
75,6.92,6.8,4.04
76,6.94,6.84,4.06
77,6.99,6.88,4.12
78,7.09,6.95,4.15
79,7.16,7.07,4.19
80,7.21,7.13,4.28
81,7.26,7.17,4.33
82,7.3,7.24,4.36
83,7.37,7.26,4.44
84,7.43,7.33,4.49
85,7.47,7.46,4.51
86,7.53,7.54,4.53
87,7.59,7.57,4.63
88,7.63,7.62,4.67
89,7.69,7.67,4.75
90,7.71,7.7,4.79
91,7.74,7.73,4.87
92,7.77,7.76,4.92
93,7.8,7.82,4.96
94,7.84,7.84,5.07
95,7.91,7.88,5.1
96,7.94,7.93,5.18
97,7.98,7.96,5.23
98,8.02,8.04,5.34
99,8.05,8.1,5.38
100,8.11,8.13,5.39
101,8.13,8.2,5.43
102,8.19,8.24,5.51
103,8.22,8.26,5.53
104,8.25,8.3,5.59
105,8.3,8.35,5.65
106,8.33,8.4,5.75
107,8.38,8.44,5.8
108,8.43,8.49,5.85
109,8.46,8.53,5.92
110,8.51,8.55,6.0
111,8.53,8.61,6.03
112,8.58,8.66,6.09
113,8.63,8.72,6.12
114,8.64,8.76,6.16
115,8.69,8.8,6.22
116,8.74,8.84,6.29
117,8.81,8.9,6.41
118,8.81,8.91,6.45
119,8.85,8.92,6.52
120,8.86,8.98,6.57
121,8.91,9.02,6.62
122,8.97,9.04,6.67
123,9.01,9.07,6.7
124,9.05,9.1,6.73
125,9.07,9.16,6.78
126,9.11,9.2,6.83
127,9.13,9.24,6.88
128,9.16,9.3,6.96
129,9.19,9.33,6.99
130,9.21,9.38,7.03
131,9.26,9.43,7.08
132,9.3,9.45,7.12
133,9.35,9.46,7.17
134,9.41,9.5,7.25
135,9.46,9.53,7.34
136,9.55,9.58,7.38
137,9.61,9.65,7.4
138,9.65,9.71,7.45
139,9.71,9.77,7.48
140,9.75,9.78,7.55
141,9.8,9.85,7.61
142,9.83,9.9,7.67
143,9.86,9.94,7.7
144,9.9,9.97,7.76
145,9.93,10.02,7.78
146,9.95,10.04,7.81
147,9.99,10.09,7.88
148,10.03,10.13,7.93
149,10.07,10.17,7.98
150,10.1,10.2,7.99
151,10.17,10.28,8.02
152,10.22,10.34,8.12
153,10.26,10.4,8.15
154,10.28,10.45,8.17
155,10.31,10.46,8.22
156,10.34,10.51,8.27
157,10.38,10.55,8.32
158,10.43,10.59,8.38
159,10.44,10.66,8.44
160,10.45,10.69,8.51
161,10.5,10.74,8.57
162,10.55,10.78,8.62
163,10.59,10.8,8.66
164,10.61,10.86,8.72
165,10.65,10.92,8.77
166,10.73,10.95,8.84
167,10.75,11.02,8.88
168,10.77,11.03,8.91
169,10.79,11.04,8.94
170,10.8,11.11,8.98
171,10.84,11.16,9.03
172,10.89,11.21,9.09
173,10.95,11.25,9.11
174,11.03,11.3,9.17
175,11.08,11.36,9.24
176,11.13,11.41,9.3
177,11.17,11.47,9.36
178,11.24,11.57,9.42
179,11.28,11.61,9.48
180,11.32,11.65,9.5
181,11.4,11.7,9.56
182,11.45,11.75,9.64
183,11.46,11.76,9.69
184,11.5,11.81,9.71
185,11.57,11.88,9.78
186,11.62,11.93,9.81
187,11.66,12.0,9.82
188,11.75,12.03,9.89
189,11.83,12.04,9.94
190,11.86,12.12,10.0
191,11.93,12.21,10.07
192,11.97,12.27,10.13
193,12.0,12.3,10.15
194,12.03,12.32,10.2
195,12.05,12.39,10.25
196,12.12,12.43,10.35
197,12.19,12.47,10.37
198,12.24,12.5,10.41
199,12.27,12.51,10.43
200,12.35,12.52,10.51
