iteration,lcb,rand
1,0.33,0.28
2,0.37,0.3
3,0.47,0.34
4,0.58,0.37
5,0.67,0.39
6,0.71,0.43
7,0.82,0.52
8,0.91,0.59
9,1.03,0.64
10,1.11,0.67
11,1.21,0.75
12,1.31,0.78
13,1.38,0.82
14,1.48,0.92
15,1.58,0.97
16,1.72,1.0
17,1.82,1.01
18,1.99,1.05
19,2.06,1.15
20,2.14,1.19
21,2.22,1.26
22,2.3,1.29
23,2.43,1.31
24,2.57,1.36
25,2.68,1.42
26,2.78,1.5
27,2.87,1.52
28,2.95,1.57
29,3.06,1.62
30,3.1,1.65
31,3.19,1.73
32,3.29,1.79
33,3.34,1.86
34,3.39,1.88
35,3.44,1.93
36,3.49,1.97
37,3.59,2.01
38,3.67,2.03
39,3.78,2.08
40,3.85,2.16
41,3.96,2.23
42,4.06,2.28
43,4.16,2.33
44,4.25,2.36
45,4.32,2.4
46,4.41,2.45
47,4.5,2.5
48,4.61,2.51
49,4.73,2.55
50,4.87,2.59
51,4.97,2.62
52,5.05,2.67
53,5.12,2.75
54,5.18,2.81
55,5.28,2.85
56,5.37,2.94
57,5.44,3.0
58,5.51,3.09
59,5.6,3.13
60,5.67,3.17
61,5.74,3.21
62,5.85,3.23
63,5.92,3.28
64,6.0,3.33
65,6.09,3.38
66,6.15,3.42
67,6.2,3.45
68,6.24,3.53
69,6.3,3.53
70,6.36,3.57
71,6.41,3.61
72,6.5,3.65
73,6.53,3.72
74,6.59,3.75
75,6.61,3.83
76,6.67,3.84
77,6.76,3.86
78,6.8,3.94
79,6.84,3.99
80,6.93,4.06
81,7.0,4.12
82,7.04,4.16
83,7.14,4.17
84,7.23,4.23
85,7.29,4.27
86,7.33,4.32
87,7.4,4.37
88,7.46,4.42
89,7.54,4.5
90,7.6,4.6
91,7.67,4.65
92,7.7,4.69
93,7.75,4.78
94,7.8,4.85
95,7.86,4.95
96,7.9,5.04
97,8.0,5.12
98,8.02,5.16
99,8.12,5.21
100,8.14,5.28
101,8.18,5.32
102,8.23,5.37
103,8.27,5.4
104,8.36,5.42
105,8.37,5.45
106,8.42,5.49
107,8.42,5.58
108,8.44,5.6
109,8.52,5.69
110,8.56,5.74
111,8.62,5.78
112,8.7,5.84
113,8.72,5.9
114,8.75,5.96
115,8.79,6.0
116,8.88,6.06
117,8.92,6.09
118,8.95,6.15
119,8.98,6.18
120,9.02,6.25
121,9.06,6.29
122,9.08,6.34
123,9.13,6.36
124,9.19,6.43
125,9.21,6.53
126,9.28,6.58
127,9.3,6.68
128,9.35,6.74
129,9.43,6.76
130,9.47,6.84
131,9.51,6.9
132,9.58,6.96
133,9.65,6.97
134,9.68,6.99
135,9.74,7.05
136,9.78,7.12
137,9.84,7.17
138,9.88,7.22
139,9.92,7.28
140,9.93,7.33
141,9.99,7.39
142,10.01,7.44
143,10.03,7.49
144,10.07,7.6
145,10.09,7.62
146,10.12,7.66
147,10.15,7.7
148,10.19,7.76
149,10.24,7.82
150,10.26,7.85
151,10.33,7.88
152,10.35,7.96
153,10.42,8.0
154,10.5,8.02
155,10.55,8.08
156,10.62,8.19
157,10.7,8.23
158,10.73,8.3
159,10.73,8.36
160,10.78,8.4
161,10.81,8.45
162,10.9,8.49
163,10.94,8.56
164,10.95,8.6
165,11.02,8.64
166,11.08,8.67
167,11.12,8.68
168,11.15,8.7
169,11.2,8.75
170,11.25,8.8
171,11.28,8.85
172,11.3,8.89
173,11.35,8.98
174,11.4,9.02
175,11.46,9.05
176,11.5,9.09
177,11.52,9.18
178,11.56,9.2
179,11.58,9.23
180,11.67,9.25
181,11.72,9.31
182,11.74,9.38
183,11.79,9.42
184,11.81,9.49
185,11.84,9.51
186,11.89,9.53
187,11.94,9.57
188,11.96,9.61
189,12.01,9.69
190,12.07,9.75
191,12.11,9.84
192,12.17,9.85
193,12.2,9.87
194,12.29,9.91
195,12.34,9.99
196,12.39,10.05
197,12.44,10.08
198,12.46,10.14
199,12.51,10.18
200,12.58,10.21
